compound,c1,c2
airforce,air,force
airforce,air,force
airway,air,way
airway,air,way
applesauce,apple,sauce
applesauce,apple,sauce
armchair,arm,chair
armchair,arm,chair
ballgame,ball,game
ballgame,ball,game
baseball,base,ball
baseball,base,ball
bearskin,bear,skin
bearskin,bear,skin
birdcage,bird,cage
birdcage,bird,cage
birthday,birth,day
birthday,birth,day
birthweight,birth,weight
birthweight,birth,weight
bordertown,border,town
bordertown,border,town
boyfriend,boy,friend
boyfriend,boy,friend
brainpower,brain,power
brainpower,brain,power
brickwork,brick,work
brickwork,brick,work
bullfight,bull,fight
bullfight,bull,fight
businesswoman,business,woman
businesswoman,business,woman
campground,camp,ground
campground,camp,ground
catnap,cat,nap
catnap,cat,nap
cheesecake,cheese,cake
cheesecake,cheese,cake
coastguard,coast,guard
coastguard,coast,guard
cookbook,cook,book
cookbook,cook,book
courtroom,court,room
courtroom,court,room
covergirl,cover,girl
covergirl,cover,girl
crossbow,cross,bow
crossbow,cross,bow
crowbar,crow,bar
crowbar,crow,bar
dollhouse,doll,house
dollhouse,doll,house
dressmaker,dress,maker
dressmaker,dress,maker
drumstick,drum,stick
drumstick,drum,stick
duckpond,duck,pond
duckpond,duck,pond
eggcup,egg,cup
eggcup,egg,cup
eyeball,eye,ball
eyeball,eye,ball
facemask,face,mask
facemask,face,mask
factsheet,fact,sheet
factsheet,fact,sheet
farmland,farm,land
farmland,farm,land
fireball,fire,ball
fireball,fire,ball
fireplace,fire,place
fireplace,fire,place
flightcrew,flight,crew
flightcrew,flight,crew
floodgate,flood,gate
floodgate,flood,gate
folksong,folk,song
folksong,folk,song
fruitcake,fruit,cake
fruitcake,fruit,cake
hailstorm,hail,storm
hailstorm,hail,storm
haircut,hair,cut
haircut,hair,cut
handclap,hand,clap
handclap,hand,clap
handprint,hand,print
handprint,hand,print
heatstroke,heat,stroke
heatstroke,heat,stroke
homeland,home,land
homeland,home,land
houseplant,house,plant
houseplant,house,plant
jailbreak,jail,break
jailbreak,jail,break
kneecap,knee,cap
kneecap,knee,cap
landlord,land,lord
landlord,land,lord
lifeguard,life,guard
lifeguard,life,guard
lightbulb,light,bulb
lightbulb,light,bulb
mailman,mail,man
mailman,mail,man
meatball,meat,ball
meatball,meat,ball
mincemeat,mince,meat
mincemeat,mince,meat
molehill,mole,hill
molehill,mole,hill
moneylender,money,lender
moneylender,money,lender
mountaintop,mountain,top
mountaintop,mountain,top
paperclip,paper,clip
paperclip,paper,clip
passport,pass,port
passport,pass,port
photobook,photo,book
photobook,photo,book
racetrack,race,track
racetrack,race,track
railway,rail,way
railway,rail,way
restroom,rest,room
restroom,rest,room
ringtone,ring,tone
ringtone,ring,tone
riverbed,river,bed
riverbed,river,bed
roadhouse,road,house
roadhouse,road,house
sandpaper,sand,paper
sandpaper,sand,paper
sawdust,saw,dust
sawdust,saw,dust
schoolfriend,school,friend
schoolfriend,school,friend
schoolgirl,school,girl
schoolgirl,school,girl
schoolmate,school,mate
schoolmate,school,mate
schoolyard,school,yard
schoolyard,school,yard
seafood,sea,food
seafood,sea,food
shotglass,shot,glass
shotglass,shot,glass
sideline,side,line
sideline,side,line
sinkhole,sink,hole
sinkhole,sink,hole
skatepark,skate,park
skatepark,skate,park
smokescreen,smoke,screen
smokescreen,smoke,screen
snowfall,snow,fall
snowfall,snow,fall
snowshoe,snow,shoe
snowshoe,snow,shoe
songbird,song,bird
songbird,song,bird
spacecraft,space,craft
spacecraft,space,craft
spaceship,space,ship
spaceship,space,ship
stardust,star,dust
stardust,star,dust
sunbeam,sun,beam
sunbeam,sun,beam
swordfight,sword,fight
swordfight,sword,fight
taxicab,taxi,cab
taxicab,taxi,cab
thunderstorm,thunder,storm
thunderstorm,thunder,storm
tinfoil,tin,foil
tinfoil,tin,foil
toothpaste,tooth,paste
toothpaste,tooth,paste
topsoil,top,soil
topsoil,top,soil
tracksuit,track,suit
tracksuit,track,suit
trapdoor,trap,door
trapdoor,trap,door
vineyard,vine,yard
vineyard,vine,yard
waistband,waist,band
waistband,waist,band
waterfall,water,fall
waterfall,water,fall
wheelchair,wheel,chair
wheelchair,wheel,chair
windshield,wind,shield
windshield,wind,shield
wingspan,wing,span
wingspan,wing,span
