compound,c1,c2
airmedic,air,medic
airmedic,air,medic
alebank,ale,bank
alebank,ale,bank
bagweb,bag,web
bagweb,bag,web
barbox,bar,box
barbox,bar,box
bedscreen,bed,screen
bedscreen,bed,screen
beefolk,bee,folk
beefolk,bee,folk
beltmast,belt,mast
beltmast,belt,mast
bogeylist,bogey,list
bogeylist,bogey,list
bookbasin,book,basin
bookbasin,book,basin
brainbed,brain,bed
brainbed,brain,bed
breadnut,bread,nut
breadnut,bread,nut
bridefeather,bride,feather
bridefeather,bride,feather
butterlamp,butter,lamp
butterlamp,butter,lamp
cakebaby,cake,baby
cakebaby,cake,baby
cakenest,cake,nest
cakenest,cake,nest
catpen,cat,pen
catpen,cat,pen
cavehouse,cave,house
cavehouse,cave,house
chalkbaby,chalk,baby
chalkbaby,chalk,baby
cheekwater,cheek,water
cheekwater,cheek,water
coaljet,coal,jet
coaljet,coal,jet
deedword,deed,word
deedword,deed,word
deskscarf,desk,scarf
deskscarf,desk,scarf
dinnersale,dinner,sale
dinnersale,dinner,sale
dogrope,dog,rope
dogrope,dog,rope
dogsong,dog,song
dogsong,dog,song
dyestore,dye,store
dyestore,dye,store
fairycoat,fairy,coat
fairycoat,fairy,coat
figbike,fig,bike
figbike,fig,bike
flowerbeard,flower,beard
flowerbeard,flower,beard
gemtruck,gem,truck
gemtruck,gem,truck
ghostlip,ghost,lip
ghostlip,ghost,lip
grainhouse,grain,house
grainhouse,grain,house
grassgap,grass,gap
grassgap,grass,gap
grassladder,grass,ladder
grassladder,grass,ladder
gumsheet,gum,sheet
gumsheet,gum,sheet
gymguilt,gym,guilt
gymguilt,gym,guilt
hamstyle,ham,style
hamstyle,ham,style
helltower,hell,tower
helltower,hell,tower
horsebench,horse,bench
horsebench,horse,bench
jazzbox,jazz,box
jazzbox,jazz,box
junkroom,junk,room
junkroom,junk,room
lakebasket,lake,basket
lakebasket,lake,basket
lifebasket,life,basket
lifebasket,life,basket
lifegate,life,gate
lifegate,life,gate
lionrug,lion,rug
lionrug,lion,rug
lunchcup,lunch,cup
lunchcup,lunch,cup
monkeyhat,monkey,hat
monkeyhat,monkey,hat
moondisc,moon,disc
moondisc,moon,disc
mouthscreen,mouth,screen
mouthscreen,mouth,screen
mucklust,muck,lust
mucklust,muck,lust
neckbird,neck,bird
neckbird,neck,bird
oceanpen,ocean,pen
oceanpen,ocean,pen
papertruck,paper,truck
papertruck,paper,truck
peaceproof,peace,proof
peaceproof,peace,proof
policyfolk,policy,folk
policyfolk,policy,folk
poolbrick,pool,brick
poolbrick,pool,brick
prayermantel,prayer,mantel
prayermantel,prayer,mantel
prisonlap,prison,lap
prisonlap,prison,lap
radiostory,radio,story
radiostory,radio,story
ricewig,rice,wig
ricewig,rice,wig
rifleshelf,rifle,shelf
rifleshelf,rifle,shelf
roadcheese,road,cheese
roadcheese,road,cheese
roofbrick,roof,brick
roofbrick,roof,brick
screenday,screen,day
screenday,screen,day
sealeaf,sea,leaf
sealeaf,sea,leaf
seatcone,seat,cone
seatcone,seat,cone
shirtcream,shirt,cream
shirtcream,shirt,cream
shoecycle,shoe,cycle
shoecycle,shoe,cycle
sightcentre,sight,centre
sightcentre,sight,centre
soapdevil,soap,devil
soapdevil,soap,devil
soapeye,soap,eye
soapeye,soap,eye
soupbag,soup,bag
soupbag,soup,bag
sportpower,sport,power
sportpower,sport,power
stagejaw,stage,jaw
stagejaw,stage,jaw
stairpaper,stair,paper
stairpaper,stair,paper
steamjar,steam,jar
steamjar,steam,jar
stovemeat,stove,meat
stovemeat,stove,meat
stovetown,stove,town
stovetown,stove,town
styledragon,style,dragon
styledragon,style,dragon
stylepod,style,pod
stylepod,style,pod
sugarstraw,sugar,straw
sugarstraw,sugar,straw
summerforest,summer,forest
summerforest,summer,forest
summerpit,summer,pit
summerpit,summer,pit
sungown,sun,gown
sungown,sun,gown
swinelouse,swine,louse
swinelouse,swine,louse
swordmask,sword,mask
swordmask,sword,mask
tentboom,tent,boom
tentboom,tent,boom
textbed,text,bed
textbed,text,bed
theaterbarn,theater,barn
theaterbarn,theater,barn
tideroad,tide,road
tideroad,tide,road
toolmat,tool,mat
toolmat,tool,mat
treeshirt,tree,shirt
treeshirt,tree,shirt
videojar,video,jar
videojar,video,jar
voicerod,voice,rod
voicerod,voice,rod
wandjet,wand,jet
wandjet,wand,jet
warbed,war,bed
warbed,war,bed
webcloth,web,cloth
webcloth,web,cloth
winebrain,wine,brain
winebrain,wine,brain
woolgear,wool,gear
woolgear,wool,gear
yardnest,yard,nest
yardnest,yard,nest
