"corpus","ukwac"
"subcorpus","-"
"concordance size","1138378"
"query","Query:[lc=""about"" | lemma_lc=""about""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"journalism.cf.ac.uk","the  public  ","about"," modern health"
"rdmengineering.co.uk","second  time  ","about"," running on the"
"tonearm.co.uk","  police  ","about"," the area."
"ageconcern.org.uk","ther  details  ","about"," how to claim"
"bowness.demon.co.uk","gain  clarity  ","about"," the impact of"
"baas.ac.uk","  activity  ","about"," which does not"
"chichesterjazzclub.co.uk","  prescription  ","about"," credit"
"fodac.org.uk","  assumption  ","about"," the"
"teachingenglish.org.uk","to  news  ","about"," unemployment"
"oink.demon.co.uk","  information  ","about"," pancreas"
"journalism.cf.ac.uk","  literature  ","about"," the Kabbalah"
"medievalfreeco.org.uk",". On  average  ","about"," 60 % of the"
"medievalfreeco.org.uk","  picture  ","about"," Sri Lanka."
"uxisweb1.brunel.ac.uk","any  queries  ","about"," the way in"
"mookychick.co.uk","in our  quiz  ","about"," classics in"
"journalism.cf.ac.uk"," ","about"," them. The"
"fodac.org.uk"," ","about"," the need for"
"mookychick.co.uk","  thoughts  ","about"," women, men,"
"chichesterjazzclub.co.uk","  stipulations  ","about"," credit"
"chichesterjazzclub.co.uk","  information  ","about"," healthcare"
"medievalfreeco.org.uk","  doubts  ","about"," the validity"
"tonearm.co.uk","  complaints  ","about"," the food. Dr."
"martininstitute.ox.ac.uk","more  teaching  ","about"," dialect and"
"martininstitute.ox.ac.uk","implies  doubt  ","about"," the outcome."
"birminghamfoe.org.uk","no more  bones  ","about"," the matter."
"martininstitute.ox.ac.uk","Suffolk  talk  ","about"," the language"
"rdmengineering.co.uk","do  anything  ","about"," it for the time"
"rdmengineering.co.uk","done  nothing  ","about"," that: four"
"brigglife.co.uk","  thing  ","about"," this protest"
"britishblogs.co.uk","political  row  ","about"," the oil"
"fodac.org.uk","any  evidence  ","about",", societies"
"fanderson.org.uk","  book  ","about"," Aristotle ''s"
"the-morningstar.co.uk","  information  ","about"," services only"
"journalism.cf.ac.uk","  references  ","about"," werewolves."
"bowness.demon.co.uk","''s  anxiety  ","about"," how to manage"
"geologywales.co.uk","  thinking  ","about"," higher"
"journalism.cf.ac.uk","  articles  ","about"," Tibetan"
"medievalfreeco.org.uk","  doubts  ","about"," the validity"
"mariners-l.co.uk","some  detail  ","about"," our use of"
"martininstitute.ox.ac.uk","''s  children  ","about","? katherine"
"mookychick.co.uk","with our  quiz  ","about"," authors and"
"mookychick.co.uk",". Try our  quiz  ","about"," the books ("
"been2nene.co.uk","  inferences  ","about"," the"
"monteclefe.somerset.sch.uk",". The  seats  ","about"," their table"
"martininstitute.ox.ac.uk","  arguments  ","about"," the origin(s)"
"journalism.cf.ac.uk","a short  story  ","about"," childhood."
"vacant.org.uk","of  guidance  ","about"," potential"
"chichesterjazzclub.co.uk"," ","about"," HE. The QAA"
"chichesterjazzclub.co.uk","  judgements  ","about"," whether or not"
"rdmengineering.co.uk","in the  dark  ","about"," where to watch"
"fodac.org.uk","of  knowledge  ","about"," the more"
"rdmengineering.co.uk","some  rubbish  ","about"," parliament"
"vacant.org.uk","  information  ","about"," our main"
"horseracingbets.co.uk","spoken a  lot  ","about"," Cedric Price"
"cheers-wine-merchants.co.uk","  categories  ","about"," the South,"
"cwn.org.uk","  implications  ","about"," space, time,"
"medievalfreeco.org.uk","a  judgment  ","about"," risk on return"
"chichesterjazzclub.co.uk","  judgements  ","about"," the standards"
"chichesterjazzclub.co.uk","  explicitness  ","about"," the outcomes"
"talyllyn.co.uk","''s  point  ","about"," the degree of"
"tps.org.uk","is no  doubt  ","about"," it. I don''t"
"dodger.co.uk","  information  ","about"," pets in need of"
"journalism.cf.ac.uk",".  Papers  ","About"," MUDs."
"journalism.cf.ac.uk","  aspects  ","about"," their history"
"talyllyn.co.uk","  information  ","about"," the security"
"journalism.cf.ac.uk","a  non-Mormon  ","about"," his"
"pkf.co.uk","over a  ridge  ","about"," a mile in"
"fantasyfactory.co.uk","  arrangements  ","about"," meeting each"
"letsgogardening.co.uk","into  laptops  ","about"," a year and a"
"letsgogardening.co.uk","Hypersonic  PC  ","about"," five years ago"
"horseracingbets.co.uk","a  book  ","about"," Europe and"
"starfishproject.freeserve.co.uk","Blowers  talks  ","about"," his meetings"
"horseracingbets.co.uk","special  thing  ","about"," the 1960s in"
"horniman.ac.uk","  statements  ","about"," Catholic"
"flycom.co.uk","do  something  ","about"," it; I want to go"
"exposure.co.uk","  quote  ","about"," game prices -"
"starfishproject.freeserve.co.uk","  anecdotes  ","about"," life in and out"
"xibalba.demon.co.uk","  conclusions  ","about"," it to the point"
"xibalba.demon.co.uk","  views  ","about"," the behaviour"
"troubleatwork.org.uk",". (  source  ","About",". com -"
"troubleatwork.org.uk",". (  source  ","About",". com -"
"chichesterjazzclub.co.uk","a  consensus  ","about"," practices"
"nowt2do.co.uk","  talks  ","about"," his work"
"cheers-wine-merchants.co.uk","  feature  ","about"," the N. L"
"oink.demon.co.uk","  questions  ","about"," combined"
"ageconcern.org.uk","and their  faq  ","about",""
"medievalfreeco.org.uk","  doubts  ","about"," the validity"
"blog.outofthebedroom.co.uk","  concerns  ","about"," the water"
"talyllyn.co.uk","  information  ","about"," the security"
"letsgogardening.co.uk","''s  warranties  ","about",""
"horniman.ac.uk","  truths  ","about"," God which our"
"mariners-l.co.uk","to the  boys  ","about"," their out of"
"horseracingbets.co.uk","great  thing  ","about"," 1960s"
"journalism.cf.ac.uk","  theories  ","about"," the region ''s"
"dancecity.co.uk","of new  thought  ","about"," the relation"
"journalism.cf.ac.uk","  documents  ","about"," African slave"
"dancecity.co.uk","  information  ","about"," X are set up;"
"dancecity.co.uk","  information  ","about"," X or"
"dancecity.co.uk","  information  ","about"," X such that"
