"corpus","ukwac"
"subcorpus","-"
"concordance size","436877"
"query","Query:[lc=""about"" | lemma_lc=""about""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"studentcentral.co.uk","need to know"," about","  krugerrands  ."
"martininstitute.ox.ac.uk","language is"," about",""
"chichesterjazzclub.co.uk","prescription"," about","  credit"
"moorlandschool.co.uk","is not a theory"," about","  life  which you"
"teachingenglish.org.uk","to news"," about","  unemployment"
"nhsplus.nhs.uk","need to know"," about","  changes  to NHS"
"ownersdirect.co.uk","here is"," about","  9km  or just"
"martininstitute.ox.ac.uk","short to worry"," about","  someone"
"oink.demon.co.uk","information"," about","  pancreas"
"lhc.org.uk","information"," about","  cookies  . Page"
"lums.lancs.ac.uk","I could find"," about","  people  trying"
"royalascot.co.uk","discussion"," about","  cotton  , which"
"exeter.ac.uk","on just"," about","  everything"
"lums.lancs.ac.uk",". It ''s"," about","  replication  ,"
"englishmonarchs.co.uk","to have spent"," about","  £28m  on"
"huddersfield1.co.uk","to speak"," about","  methodology"
"mookychick.co.uk","in our quiz"," about","  classics  in"
"childsafety.co.uk","information"," about","  drugs  after"
"blog.outofthebedroom.co.uk","Caves and"," about","  50m"
"mookychick.co.uk","thoughts"," about","  women  , men,"
"chichesterjazzclub.co.uk","stipulations"," about","  credit"
"chichesterjazzclub.co.uk","information"," about","  healthcare"
"nhsplus.nhs.uk","questions"," about","  NHS  dentistry"
"martininstitute.ox.ac.uk","more teaching"," about","  dialect  and"
"moorlandschool.co.uk","we tell"," about","  life  are not"
"moorlandschool.co.uk","we tell"," about","  life  that we do"
"jollyfarmer.co.uk","and fussing"," about","  police"
"brmb.co.uk","you learn more"," about","  Druidry  , you"
"dpawson.co.uk","''m passionate"," about","  movies  of all"
"royalascot.co.uk","we get to think"," about","  cut  , colour"
"greatplaces.org.uk","use PDF files (","about","  PDF  ) you may"
"moorlandschool.co.uk","our theories"," about","  life  in favour"
"supertarot.co.uk","different"," about","  honors"
"the-morningstar.co.uk","information"," about","  services  only"
"journalism.cf.ac.uk","references"," about","  werewolves  ."
"moorlandschool.co.uk","our concepts"," about","  life  that we"
"dpawson.co.uk","successfully"," about","  directors  he"
"ukspa.org.uk","information"," about","  population"
"geologywales.co.uk","tells all"," about","  bands  , films,"
"mookychick.co.uk","with our quiz"," about","  authors  and"
"sherlock-holmes.classic-literature.co.uk","of his stories"," about","  Tevye  the"
"dcs.gov.uk",". Find out more"," about","  margin"
"the-faith.org.uk",". Learn"," about","  noise  related"
"journalism.cf.ac.uk","a short story"," about","  childhood  ."
"martininstitute.ox.ac.uk",", but what"," about","  words  used"
"portfolio.brokencube.co.uk","opinions"," about","  driving  and"
"flycom.co.uk",", is talking"," about","  plot  themes in"
"childsafety.co.uk","questions"," about","  arms  sales to"
"huddersfield1.co.uk","information"," about","  training  on"
