"corpus","ukwac"
"subcorpus","-"
"concordance size","1983791"
"query","Query:[lc=""by"" | lemma_lc=""by""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"martininstitute.ox.ac.uk","  culprits  ","by"," far. They have"
"samoa.co.uk","hear an  album  ","by"," the Sargent on"
"hi-europe.co.uk","  quantity  ","by"," more than"
"samoa.co.uk","this  track  ","by"," track. I could"
"rdmengineering.co.uk","assured  debut  ","by"," Cook. I never"
"solid-edge.co.uk","  disservice  ","by"," doing it."
"tonearm.co.uk","on this  visit  ","by"," Major Baruch."
"bowness.demon.co.uk","  chapter  ","by"," Suzanne"
"carbonflo.co.uk","your  excuse  ","by"," sending it to"
"medievalfreeco.org.uk","and  abuse  ","by"," government"
"tonearm.co.uk","wine and  beer  ","by"," the car-load"
"troubleatwork.org.uk"," ","by"," her father."
"samoa.co.uk","certain  track  ","by"," one Corinne"
"birminghamfoe.org.uk","century  texts  ","by"," Athelstane"
"jollyfarmer.co.uk","out.  Point  ","by"," point: I can''t"
"baas.ac.uk","  day  ","by"," day before God"
"medievalfreeco.org.uk","  standard  ","by"," publication"
"hi-europe.co.uk","as the?  person  ","by"," whom or on"
"hi-europe.co.uk","  quantity  ","by"," more than an"
"rdmengineering.co.uk","a harsh  call  ","by"," Aleem Dar."
"nbtea.co.uk","''s  Choice  ","by"," the Young Vic"
"medievalfreeco.org.uk","  persecution  ","by"," non-state"
"baas.ac.uk","of our  day  ","by"," day living?"
"hi-europe.co.uk","a  guarantee  ","by"," the packer or"
"tps.org.uk","desired  items  ","by"," grouping them"
"baas.ac.uk","and our  day  ","by"," day need of"
"rcpsglasg.ac.uk","make a  payment  ","by"," the due date on"
"hsc.uwe.ac.uk","the  documents  ","by"," which Tyrrel"
"tonearm.co.uk",".  Killings  ","by"," slow"
"dancecity.co.uk","in  life  ","by"," an artificial"
"jollyfarmer.co.uk","  credibility  ","by",""
"xibalba.demon.co.uk"," ","by"," the score"
"xibalba.demon.co.uk","of  descent  ","by"," modification"
"bowness.demon.co.uk","and  report  ","by"," a"
"ownersdirect.co.uk","2002 for  £5.4m  ","by"," the Signatory"
"medievalfreeco.org.uk","  insertion  ","by"," the CIPU"
"medievalfreeco.org.uk","put in  place  ","by"," CIPU"
"medievalfreeco.org.uk",",  research  ","by"," Amnesty"
"rdmengineering.co.uk","the  jocks  ","by"," between 31 and"
"baas.ac.uk",". Ongoing,  day  ","by"," day"
"dancecity.co.uk","  entities  ","by"," establishing"
"tonearm.co.uk",". "" The  killing  ","by"," gas and"
"antcarparts.co.uk","that  purpose  ","by"," the late"
"dancecity.co.uk","  organisms  ","by"," attempting to"
"mariners-l.co.uk","of  attention  ","by"," the"
"martininstitute.ox.ac.uk","  advantage  ","by"," code"
"dancecity.co.uk"," ","by"," presenting it"
"jollyfarmer.co.uk","the  right  ","by"," the courts to"
"rcpsglasg.ac.uk","  payment  ","by"," the new"
"peteralan.co.uk","  spread  ","by"," mosquito (the"
"csa.gov.uk","our  readers  ","by"," a well-known"
"horseracingbets.co.uk","very  effort  ","by"," people such as"
"ageconcern.org.uk","to be pamper  ed  ","by"," all the right"
"blog.outofthebedroom.co.uk","passage  close  ","by"," as he intended"
"languagesabroad.co.uk",".  Orders  ","by"," cheque/"
"exposure.co.uk","join our  ranks  ","by"," presenting"
"tps.org.uk","your  handheld  ","by"," the OS as well"
"dptac.gov.uk","  payment  ","by"," transfer in"
"tonearm.co.uk"," ","by"," starvation in"
"medievalfreeco.org.uk","rights  abuses  ","by"," these forces."
"tonearm.co.uk","  killings  ","by"," the slower and"
"mariners-l.co.uk","  traffic  ","by"," parents and"
"bobsticks.co.uk","  repair  ","by"," certain"
"medievalfreeco.org.uk","set of  changes  ","by"," the October"
"bordercrossings.org.uk","of  analysis  ","by"," regional"
"samoa.co.uk","set of  songs  ","by"," now, and quite"
"peteralan.co.uk","hunger  strike  ","by"," a Tamil film"
"cwn.org.uk","- film '' -  paper  ","by"," Alan Beck GAZE"
"birminghamfoe.org.uk","  close  ","by"," the prisoners"
"medievalfreeco.org.uk","  assessment  ","by"," a team of"
"tps.org.uk","demo  system  ","by"," artificially"
"hsc.uwe.ac.uk","in  infancy  ","by"," the father ''s"
"bordercrossings.org.uk",", for  example  ","by"," leaving"
"birminghamfoe.org.uk","in  triumph  ","by"," a crowd of"
"exposure.co.uk","  attempts  ","by"," ELSPA to"
"dancecity.co.uk","  primitives  ","by"," a process"
"dancecity.co.uk","  entities  ","by"," establishing"
"vacant.org.uk","the  system  ","by"," 2000) is"
"bobsticks.co.uk","on one  side  ","by"," a sub"
"bobsticks.co.uk","feet and a  half  ","by"," three and a"
"samoa.co.uk","  twelve  ","by"," a group called"
"rdmengineering.co.uk","of his  misery  ","by"," dragging a"
"medievalfreeco.org.uk","  criticism  ","by"," commenting"
"ageconcern.org.uk","the rev  iew  ","by"," using the ["
"dancecity.co.uk","simply  use  ","by"," humans."
"peteralan.co.uk","regions, a  ban  ","by"," Tamil cable"
"bobsticks.co.uk","on all  sides  ","by"," lofty"
"martininstitute.ox.ac.uk","an  example  ","by"," speaking the"
"medievalfreeco.org.uk","  today  ","by"," the Home"
"birminghamfoe.org.uk"," ","by"," a trick"
"fantasyfactory.co.uk","behind  bars  ","by"," judge TV News"
"dancecity.co.uk","  recognition  ","by"," the one making"
"rdmengineering.co.uk","''s  batting  ","by"," a dismissal"
"bobsticks.co.uk","its  ravages  ","by"," a lofty dike"
"talyllyn.co.uk","  security  ","by"," allowing a"
"karibuni.co.uk","recent  ruling  ","by"," the Court of"
"vacant.org.uk","  Corporations  ","by"," Frederick"
"tonearm.co.uk","  institution  ","by"," the"
"hsc.uwe.ac.uk"," ","by"," a day in"
"jollyfarmer.co.uk","  statement  ","by"," saying it"
"exposure.co.uk","open  threats  ","by"," companies to"
"crbs.org.uk","'' or ` ` old  line  ","by"," line '' ''"
"crbs.org.uk",". In ` ` old  line  ","by"," line '' '' mode,"
"crbs.org.uk","for ` ` old  line  ","by"," line '' ''; see"
"crbs.org.uk","when in ` `  line  ","by"," line '' '' mode,"
"crbs.org.uk","or ` ` old  line  ","by"," line '' '' mode,"
"crbs.org.uk","or ` ` old  line  ","by"," line '' '' mode,"
"crbs.org.uk","or old  line  ","by"," line '' '' mode,"
"crbs.org.uk","or ` ` old  line  ","by"," line '' '' mode,"
"crbs.org.uk","in ` ` old  line  ","by"," line '' '' mode,"
"crbs.org.uk","in ` ` old  line  ","by"," line '' '' mode."
"crbs.org.uk",". In ` ` old  line  ","by"," line '' '' mode or"
"oriel.ox.ac.uk","  people  ","by"," creating many"
"nowt2do.co.uk","On This  Earth  ","by"," Garth"
"nowt2do.co.uk","  interview  ","by"," László"
"nowt2do.co.uk","  translations  ","by"," Eszter Kató"
"nowt2do.co.uk","Folk  musician  ","by"," Speran &#355;"
"nowt2do.co.uk",".  Obituary  ","by"," Speranta"
"nowt2do.co.uk","life and  work  ","by"," Terry Herbert"
"nowt2do.co.uk","  contours  ","by"," the"
"journalism.cf.ac.uk","  way  ","by"," clicking on"
"journalism.cf.ac.uk",".  Artwork  ","by"," atom bomb"
"journalism.cf.ac.uk"," ","by"," Robert"
"journalism.cf.ac.uk","100  paintings  ","by"," 80 artists"
"journalism.cf.ac.uk","into the  show  ","by"," theme, artist"
"journalism.cf.ac.uk",""":  Designs  ","by"," El Lissitzky."
"journalism.cf.ac.uk",".  Photos  ","by"," Che Guevara."
"journalism.cf.ac.uk",". Comic  Art  ","by"," Adrian Tomine"
"journalism.cf.ac.uk","Tales.  Blogs  ","by"," Iranians."
"journalism.cf.ac.uk","is a  memoir  ","by"," a non-Mormon"
"journalism.cf.ac.uk","  sacred-texts  ","by"," the anonymous"
"journalism.cf.ac.uk","  perspective  ","by"," an outsider to"
"journalism.cf.ac.uk","of the  region  ","by"," recording the"
"journalism.cf.ac.uk","to its  knees  ","by"," the conflict,"
"uxisweb1.brunel.ac.uk","a web  browser  ","by"," a web server."
"uxisweb1.brunel.ac.uk","their  visit  ","by"," customising"
"uxisweb1.brunel.ac.uk","for  example  ","by"," welcoming"
"thamesmatch.co.uk","their own  data  ","by"," saving and"
"oncology.cam.ac.uk","  Convention  ","by"," member states"
"monteclefe.somerset.sch.uk","Abbey by a  monk  ","by"," the name of"
"monteclefe.somerset.sch.uk","in all  ways  ","by"," the grace of"
"glasgowarchitecture.co.uk","  enthusiasm  ","by"," Howard Grubb,"
"glasgowarchitecture.co.uk",",  inch  ","by"," inch, under a"
"glasgowarchitecture.co.uk","in  thousands  ","by"," the time the"
"glasgowarchitecture.co.uk","  work  ","by"," the Cambridge"
"glasgowarchitecture.co.uk","only  method  ","by"," which"
"bronte.netfury.co.uk","at the  party  ","by"," the most"
"bronte.netfury.co.uk","the first  time  ","by"," one of those"
"bronte.netfury.co.uk","  Film-making  ","by"," numbers If"
"bronte.netfury.co.uk","for 2  years  ","by"," the time we"
"bronte.netfury.co.uk","up his  deskjob  ","by"," simply"
"the-morningstar.co.uk","  authorities  ","by"," Government. 2"
"the-morningstar.co.uk","  strength  ","by"," using your"
"brucesfingers.co.uk","all the  layers  ","by"," clicking the"
"fanderson.org.uk"," ","by"," academics and"
"horniman.ac.uk","that  victory  ","by"," an act of total"
"horniman.ac.uk","for  others  ","by"," lovingly"
"cheers-wine-merchants.co.uk","  situation  ","by"," taking into"
"cheers-wine-merchants.co.uk","in  part  ","by"," young and"
"cheers-wine-merchants.co.uk","  conduct  ","by"," way of"
"cheers-wine-merchants.co.uk","  indifference  ","by",""
"penrhosprivatedaynursery.co.uk","this  petition  ","by"," gopetition."
"victorianartinbritain.co.uk","in  series  ","by"," feeding an"
"victorianartinbritain.co.uk","internal  gear  ","by"," a shaft causes"
"victorianartinbritain.co.uk","out of a  pump  ","by"," the gears"
"victorianartinbritain.co.uk","ring  contour  ","by"," centrifugal"
"victorianartinbritain.co.uk","  obstructions  ","by"," using the"
"generous.org.uk",", 2006 3:16  pm  ","by"," s (Guest) Hehe"
"generous.org.uk",", 2006 5:44  pm  ","by"," Guest grace is"
"generous.org.uk",", 2006 6:26  pm  ","by"," Guest Are you"
"generous.org.uk",", 2006 2:09  pm  ","by"," Guest Grace is"
"britishblogs.co.uk","in the  1960s  ","by"," flying Lyndon"
"britishblogs.co.uk","in the  1980s  ","by"," the MoD. KBR"
"britishblogs.co.uk","?  management  ","by"," supplier with"
"britishblogs.co.uk"," ","by"," the MoD?"
"britishblogs.co.uk"," ","by"," both US and"
"teachingenglish.org.uk","  operations  ","by"," borrowing"
"englishmonarchs.co.uk","pay  something  ","by"," way of permits"
"englishmonarchs.co.uk","  impact  ","by"," creating"
"candlemaking.org.uk","energy  inputs  ","by"," 44 % and"
"candlemaking.org.uk","and  pesticide  ","by"," 97 %. The study"
"candlemaking.org.uk",". Earlier  work  ","by"," Miguel"
"cronab.demon.co.uk","taking  part  ","by"," providing"
"chichesterjazzclub.co.uk","for  use  ","by",""
"accfinweb.account.strath.ac.uk","to a  force  ","by"," using a gain"
"accfinweb.account.strath.ac.uk","to a  force  ","by"," using a gain"
"accfinweb.account.strath.ac.uk","  simulation  ","by"," clicking on"
"accfinweb.account.strath.ac.uk","  signal  ","by",": adding new"
"perse.co.uk","  Accompanied  ","by"," chilled fresh"
"perse.co.uk","etc.  Payment  ","by"," Diners/ AMEX"
"perse.co.uk",".  Receipt  ","by"," the Company of"
"perse.co.uk","of the  invoice  ","by"," due the date"
"perse.co.uk","the  premises  ","by"," or on behalf of"
"perse.co.uk","  premises  ","by"," persons"
"go.reuters.co.uk","of  families  ","by"," nice shadings"
"helo.co.uk",", take up  books  ","by"," the cartload."
"helo.co.uk","more  business  ","by"," using"
"flycom.co.uk","  fiction  ","by"," registering"
"flycom.co.uk","@ 4p (  articles  ","by"," Ed Reed & Bryn"
"flycom.co.uk","digital  form  ","by"," Samuel"
"biop.ox.ac.uk","  Payment  ","by"," results -"
"biop.ox.ac.uk","> >  Payment  ","by"," results (PBR)"
"pkf.co.uk","to  greyness  ","by"," the torrid sun"
"pkf.co.uk","in the  soil  ","by"," the South"
"pkf.co.uk","century  texts  ","by"," Athelstane"
"brmb.co.uk","  symbols  ","by"," collectors of"
"brmb.co.uk","form of a  grain  ","by"," Cerridwen in"
"brmb.co.uk","  developers  ","by"," peaceful but"
"brmb.co.uk","in  ritual  ","by"," facing East."
"ownersdirect.co.uk","  century  ","by"," the drivers of"
"ownersdirect.co.uk","our  readers  ","by"," re-iterating"
"steveellis.co.uk","  standards  ","by",":? Nurturing a"
"fodac.org.uk","  development  ","by"," central"
"fodac.org.uk","19 th  Century  ","by"," about 50 % on"
"fodac.org.uk","  knowledge  ","by"," the"
"fodac.org.uk","last  resort  ","by"," banishment to"
"fodac.org.uk","in  depth  ","by"," Malthus in the"
"fodac.org.uk","a  foreword  ","by"," Paulo Freire)"
"fodac.org.uk","  reports  ","by"," Amnesty"
"jamescowper.co.uk","District  run  ","by"," the Camping"
"age-exchange.org.uk","  strategies  ","by",""
"the-faith.org.uk","two day  course  ","by"," Mr. Smith, """
"masterfind.co.uk","RRP:  £21.95  ","By"," Maf Smith,"
"wildfowling.co.uk","slept, in  case  ","by"," any"
"wildfowling.co.uk","century  texts  ","by"," Athelstane"
"firstchoice.co.uk","at any  time  ","by"," clicking on"
"boardsonline.co.uk","asylum  claims  ","by"," women who have"
