"corpus","ukwac"
"subcorpus","-"
"concordance size","1609927"
"query","Query:[lc=""by"" | lemma_lc=""by""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"languagesabroad.co.uk","- payable"," by","  bankers  draft"
"hi-europe.co.uk","carried out"," by","  Officers  . The"
"hsc.uwe.ac.uk",", closed"," by","  suicide  . The"
"medievalfreeco.org.uk",", a lot is"," by","  subscription"
"journalism.cf.ac.uk",", illustrated"," by","  murals  from"
"ageconcern.org.uk","be informed"," by","  newsletter  of"
"ageconcern.org.uk","be informed"," by","  newsletter  of"
"crbs.org.uk","and kill)."," By","  default  , the"
"samoa.co.uk","this track"," by","  track  . I could"
"youngresources.co.uk","may attend"," by","  invitation  or"
"xibalba.demon.co.uk","be influenced"," by","  inequalities"
"martininstitute.ox.ac.uk","can be bound"," by","  rules  . In fact"
"xibalba.demon.co.uk",", not shared"," by","  genes  , is that"
"horseracingbets.co.uk","with then."," By","  contrast  , it"
"hsc.uwe.ac.uk","with them"," by","  means  of what"
"journalism.cf.ac.uk","into the show"," by","  theme  , artist"
"crbs.org.uk","in ` ` old line"," by","  line  '' '' mode."
"crbs.org.uk","exported"," by","  default  . The"
"the-philosopher.co.uk","supplied"," by","  nature  . It"
"tonearm.co.uk","received"," by","  relatives  ."
"tonearm.co.uk","and faker,"," by","  name  of Morel."
"exeter.ac.uk","followed"," by","  cheese  and"
"medievalfreeco.org.uk","and abuse"," by","  government"
"baas.ac.uk","him. But,"," by","  nature  we tend"
"medievalfreeco.org.uk","checked"," by","  IAS  . In the"
"ageconcern.org.uk","maybe 10 reads"," by","  reviewers  per"
"jollyfarmer.co.uk","out. Point"," by","  point  : I can''t"
"baas.ac.uk","day"," by","  day  before God"
"medievalfreeco.org.uk","standard"," by","  publication"
"birminghamfoe.org.uk","are ours"," by","  right  , and we"
"birminghamfoe.org.uk","have sent it on"," by","  someone  else?"
"crbs.org.uk",", caused"," by","  netdata  or"
"bobsticks.co.uk","to descend,"," by","  means  of five"
"baas.ac.uk","of our day"," by","  day  living?"
"baas.ac.uk","and our day"," by","  day  need of"
"dancecity.co.uk","that adopted"," by","  others  within"
"martininstitute.ox.ac.uk","penned mainly"," by","  white  ,"
"solid-edge.co.uk","tipped"," by","  agents  and"
"journalism.cf.ac.uk",". Artwork"," by","  atom  bomb"
"medievalfreeco.org.uk","and supported"," by","  evidence  . In"
"baas.ac.uk","and practised"," by","  parents  and"
"badgirls.co.uk","are explored"," by",""
"xibalba.demon.co.uk","of descent"," by","  modification"
"martininstitute.ox.ac.uk","get annoyed"," by","  language"
"mariners-l.co.uk","we are bound"," by","  notions  of"
"baas.ac.uk","which we are,"," by","  nature  ,"
"tonearm.co.uk","the U. S. Army,"," by","  name  of"
"medievalfreeco.org.uk","this should be"," by","  way  of"
"medievalfreeco.org.uk","times it is"," by","  way  of an"
"youngresources.co.uk","administered"," by","  Mrs  Pat Barker"
"medievalfreeco.org.uk","analysed"," by","  IAS  , concerns"
"crbs.org.uk",". In ` ` old line"," by","  line  '' '' mode,"
"baas.ac.uk",". Ongoing, day"," by","  day"
"tonearm.co.uk",". "" The killing"," by","  gas  and"
"exeter.ac.uk","Linkline (run"," by","  students  ) at"
"martininstitute.ox.ac.uk","advantage"," by","  code"
"crbs.org.uk","or old line"," by","  line  '' '' mode,"
"crbs.org.uk","in ` ` old line"," by","  line  '' '' mode,"
"exposure.co.uk","open threats"," by","  companies  to"
"peteralan.co.uk","spread"," by","  mosquito  (the"
"horseracingbets.co.uk","city launched"," by","  people  such as"
"horseracingbets.co.uk","very effort"," by","  people  such as"
"martininstitute.ox.ac.uk",""" much beloved"," by","  radio  four"
"the-philosopher.co.uk","gem produced"," by","  oysters  and"
"mariners-l.co.uk","afforded"," by","  photographs"
"bobsticks.co.uk","supported"," by","  wood  work, in a"
"dmag.org.uk",", triggered"," by","  cats  and foxes"
"xibalba.demon.co.uk","(though not"," by","  scientists  ,"
"dptac.gov.uk","payment"," by","  transfer  in"
"crbs.org.uk",". In ` ` old line"," by","  line  '' '' mode or"
"tonearm.co.uk","","by","  starvation  in"
"crbs.org.uk","negotiated,"," by","  default  the"
"crbs.org.uk","'' or ` ` old line"," by","  line  '' ''"
"medievalfreeco.org.uk","provided"," by","  government"
"mariners-l.co.uk","traffic"," by","  parents  and"
"horseracingbets.co.uk","invoked"," by","  artists"
"dmag.org.uk","light emitted"," by","  lights  used"
"crbs.org.uk","or ` ` old line"," by","  line  '' '' mode,"
"horseracingbets.co.uk","used"," by","  architects  to"
"medievalfreeco.org.uk","raised"," by","  IAS  and other"
"crbs.org.uk","for ` ` old line"," by","  line  '' ''; see"
"bobsticks.co.uk","conceived,"," by","  persons  very"
"rdmengineering.co.uk",", followed"," by","  motor  racing,"
"dancecity.co.uk","only"," by","  reference  to"
"crbs.org.uk","when in ` ` line"," by","  line  '' '' mode,"
"crbs.org.uk","or ` ` old line"," by","  line  '' '' mode,"
"crbs.org.uk","or ` ` old line"," by","  line  '' '' mode,"
"crbs.org.uk","as returned"," by","  getlogin(2  )"
"dancecity.co.uk","simply use"," by","  humans  ."
"medievalfreeco.org.uk","words used"," by","  IAS  ... "" lack"
"medievalfreeco.org.uk","provided"," by","  government"
"crbs.org.uk","as determined"," by",""
"fantasyfactory.co.uk","behind bars"," by","  judge  TV News"
"martininstitute.ox.ac.uk","to get upset"," by",""
"bowness.demon.co.uk","written"," by","  workers  at the"
"bobsticks.co.uk","in 1757,"," by","  money  raised"
"martininstitute.ox.ac.uk","confused"," by","  people  when it"
"tonearm.co.uk","be punished"," by","  death  . Also"
"crbs.org.uk","chosen"," by","  connect(2  )."
"antcarparts.co.uk",", shadowed"," by","  misfortune  ;"
"journalism.cf.ac.uk","Tales. Blogs"," by","  Iranians  ."
"journalism.cf.ac.uk",", as seen"," by","  explorers  ,"
"journalism.cf.ac.uk",", prices paid"," by","  slave  owners,"
"journalism.cf.ac.uk","caused"," by","  disorders  in"
"uxisweb1.brunel.ac.uk","them"," by","  name  next time"
"thamesmatch.co.uk","can be damaged"," by","  water  and fire"
"thamesmatch.co.uk","editing"," by","  computer  is"
"oncology.cam.ac.uk","Convention"," by","  member  states"
"oncology.cam.ac.uk","may be felt"," by","  society  as a"
"oncology.cam.ac.uk","are felt"," by","  society  as a"
"monteclefe.somerset.sch.uk",", that we know"," by","  name  . He was"
"monteclefe.somerset.sch.uk","is despoiled"," by","  thieves  and"
"monteclefe.somerset.sch.uk","table are worn"," by","  reason  of"
"monteclefe.somerset.sch.uk","frequented"," by","  strangers  ."
"adriandenning.co.uk","to deliver"," by","  email  before"
"adriandenning.co.uk","contents,"," by","  type  (e. g."
"adriandenning.co.uk","be sent"," by","  contributors"
"glasgowarchitecture.co.uk",", inch"," by","  inch  , under a"
"bronte.netfury.co.uk","Film-making"," by","  numbers"
"bronte.netfury.co.uk","Film-making"," by","  numbers  If"
"biblicalstudies.org.uk","C. (info given"," by","  grainne@peak"
"the-morningstar.co.uk","in person,"," by","  phone  , or"
"fanderson.org.uk","","by","  academics  and"
"cheers-wine-merchants.co.uk","what I mean"," by","  indifference"
"cheers-wine-merchants.co.uk","conduct"," by","  way  of"
"cheers-wine-merchants.co.uk","provided"," by","  life  stories"
"penrhosprivatedaynursery.co.uk","this petition"," by","  gopetition  ."
"victorianartinbritain.co.uk","separated"," by","  periods  of no"
"victorianartinbritain.co.uk","is created"," by","  resistance  to"
"victorianartinbritain.co.uk","are attached"," by","  ball  joints to"
"victorianartinbritain.co.uk","often caused"," by","  leaks"
"generous.org.uk",", 2006 9:40 am"," by","  gem  (Guest)"
"generous.org.uk",", 2006 3:16 pm"," by","  s  (Guest) Hehe"
"britishblogs.co.uk","campaign led"," by","  trade  unions"
"britishblogs.co.uk","? management"," by","  supplier  with"
"britishblogs.co.uk","worked out"," by","  parent"
"teachingenglish.org.uk","operations"," by","  borrowing"
"englishmonarchs.co.uk","pay something"," by","  way  of permits"
"englishmonarchs.co.uk","not well loved"," by","  anglers  . But"
"englishmonarchs.co.uk","money raised"," by","  rod  licences"
"englishmonarchs.co.uk","provided"," by","  others  . This"
"englishmonarchs.co.uk","laudable?"," by","  way  of"
"candlemaking.org.uk","yield."," By","  year  three,"
"candlemaking.org.uk","mitigated"," by","  rotation"
"mimas.ac.uk","title or"," by","  word  or phrase"
"chichesterjazzclub.co.uk","for use"," by",""
"chichesterjazzclub.co.uk","is available"," by","  subscription"
"accfinweb.account.strath.ac.uk",". This is done"," by","  positioning"
"perse.co.uk","Accompanied"," by","  chive"
"perse.co.uk","damage caused"," by","  guest  etc."
"perse.co.uk","premises"," by","  persons"
"martininstitute.ox.ac.uk","created"," by","  activ8  , Age"
"go.reuters.co.uk","disquieted"," by","  questionings"
"go.reuters.co.uk","that used"," by","  naturalists"
"flycom.co.uk",", he ''s plagued"," by","  exams  and"
"biop.ox.ac.uk","Payment"," by","  results  -"
"biop.ox.ac.uk","> > Payment"," by","  results  (PBR)"
"pkf.co.uk","avoiding as if"," by","  instinct  the"
"pkf.co.uk","opening! "" """," By","  jingo  ! No! """
"brmb.co.uk","symbols"," by","  collectors  of"
"brmb.co.uk","a symbol drawn"," by","  Druidesses"
"brmb.co.uk","be downloaded"," by",""
"brmb.co.uk",", endowed"," by","  women"
"ownersdirect.co.uk","to Stockholm"," by","  air  in 1993,"
"hazlewood-castle.co.uk","destroyed"," by","  time  . At the"
"hazlewood-castle.co.uk","is broken only"," by","  birds  and cats"
"hazlewood-castle.co.uk",""" If, prompted"," by","  curiosity  ,"
"dodger.co.uk","contacts both"," by","  phone  and via"
"fodac.org.uk","and inspired"," by","  appeals  to"
"fodac.org.uk","as being"," by","  nature"
"fodac.org.uk","advocated"," by","  liberation"
"fodac.org.uk","."," By","  contrast  the"
"fodac.org.uk","brought"," by","  improvements"
"fodac.org.uk","developed"," by","  market"
"fodac.org.uk","last resort"," by","  banishment  to"
"fodac.org.uk","exhibited"," by","  individuals  ,"
"fodac.org.uk",", and"," by","  institutions"
"age-exchange.org.uk","be possible"," by","  phone  . 10"
"age-exchange.org.uk","strategies"," by",""
"missiedith.bentbacktulips.co.uk","is welcomed"," by","  employers  ."
"wildfowling.co.uk",""" "" Surrounded"," by","  dangers  ! """
"wildfowling.co.uk","would be north"," by","  west  . "" But we"
"boardsonline.co.uk","asylum claims"," by","  women  who have"
"artangel.co.uk","now really is"," by","  guess  work!"
"charles-darwin.classic-literature.co.uk","presentation"," by","  applicant  ,"
"charles-darwin.classic-literature.co.uk",", followed"," by","  interview  ."
"dulwichcommunityhospital.nhs.uk","operated"," by","  members  of the"
"tightfittheatre.co.uk","produced"," by","  children  in"
"tightfittheatre.co.uk","a focus"," by","  children  on"
"tightfittheatre.co.uk","addressed"," by","  researchers"
"tightfittheatre.co.uk",", may be shaped"," by","  age  , gender,"
