"corpus","ukwac"
"subcorpus","-"
"concordance size","36190"
"query","Query:[lc=""caused"" | lemma_lc=""caused""][lc=""by"" | lemma_lc=""by""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"christis.org.uk","head  injuries  ","caused by"," cycle crashes"
"greywall.demon.co.uk","  illness  ","caused by"," the bacterium"
"palimpsest.org.uk","  disturbance  ","caused by"," stalking"
"sscs.bham.ac.uk","  disease  ","caused by"," a bacterium"
"journalism.cf.ac.uk","  diseases  ","caused by"," disorders in"
"insight.zdnet.co.uk",".  Disruption  ","caused by"," road"
"dolphinuk.co.uk","in  attendance  ","caused by"," child"
"biomed.abdn.ac.uk","to  subsidence  ","caused by"," desiccation"
"brigglife.co.uk","  market  ","caused by"," high prices."
"easterneyeuk.co.uk","the  harm  ","caused by"," passive"
"palimpsest.org.uk","poor  welfare  ","caused by"," the hunting"
"archaeology.co.uk","or  distress  ","caused by"," the"
"bordercrossings.org.uk","  conditions  ","caused by"," cell sharing"
"pacetelecom.co.uk","  productivity  ","caused by"," illness can be"
"woodforde.co.uk","  injury  ","caused by"," our"
"rodge.force9.co.uk","the  symptoms  ","caused by"," poor"
"childsafety.co.uk","  damage  ","caused by"," the open cast"
"hazlewood-castle.co.uk","  difficulties  ","caused by"," the law"
"udsu.co.uk","rise in  deaths  ","caused by"," speeding"
"naworth.co.uk","the  problems  ","caused by"," a new release."
"geos.ed.ac.uk","  disturbance  ","caused by"," his"
"fastcart.co.uk","a few  problems  ","caused by"," the amazing"
"prochoiceforum.org.uk","the  deaths  ","caused by"," a feud with"
"scalibor.co.uk","of  confusion  ","caused by"," each of us"
"brucesfingers.co.uk","of  stress  ","caused by"," today ''s"
"farm.org.uk","or  death  ","caused by"," our"
"medacs.co.uk","  effects  ","caused by"," tin. The JECFA"
"hfstephens-museum.org.uk","  melancholia  ","caused by"," prolonged"
"royagcol.ac.uk","any  prejudice  ","caused by"," a disclosure"
"greywall.demon.co.uk","  disease  ","caused by"," bacteria of"
"www-sedgwick.esc.cam.ac.uk","  disruption  ","caused by"," shifts and the"
"hfstephens-museum.org.uk","as a  disease  ","caused by","? the sad mood"
"hfstephens-museum.org.uk","of  nostalgia  ","caused by"," the"
"microscopy-uk.org.uk","early  deaths  ","caused by"," smoking saved"
"rodge.force9.co.uk","loss in  sweat  ","caused by"," exertion. In"
"headheritage.co.uk","any  distress  ","caused by"," my email..."
"greywall.demon.co.uk","an  infection  ","caused by"," a bacterium"
"tps.org.uk","  mutations  ","caused by"," nuclear"
"linuxformat.co.uk","the  diseases  ","caused by"," the"
"console-news.dcemu.co.uk","time  pressure  ","caused by"," attendance."
"exclusive-fountains.co.uk","  delusion  ","caused by"," the caprices"
