"corpus","ukwac"
"subcorpus","-"
"concordance size","20612"
"query","Query:[lc=""caused"" | lemma_lc=""caused""][lc=""by"" | lemma_lc=""by""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"addictive247.co.uk","to disruption"," caused by","  land"
"higherstate.co.uk","jacket or coat"," caused by","  food  or drink."
"christis.org.uk","head injuries"," caused by","  cycle  crashes"
"kinnethmont.co.uk","bacterium is"," caused by","  inversion  of"
"essex.police.uk","or weakness"," caused by","  concussion  or"
"ml-consult.co.uk","could be"," caused by","  something"
"sunion.warwick.ac.uk","could be"," caused by","  consumers"
"greywall.demon.co.uk","are usually"," caused by","  exposure  to"
"victorianartinbritain.co.uk","is more often"," caused by","  leaks"
"journalism.cf.ac.uk","diseases"," caused by","  disorders  in"
"insight.zdnet.co.uk",". Disruption"," caused by","  road"
"incore.ulst.ac.uk","that may be"," caused by","  people"
"dolphinuk.co.uk","in attendance"," caused by","  child"
"biomed.abdn.ac.uk","to subsidence"," caused by","  desiccation"
"socialistunitynetwork.co.uk","fault was not"," caused by","  misuse  or an"
"spidercox.co.uk","the mass death"," caused by","  diseases  like"
"kensington-unitarians.org.uk","UK or to faults"," caused by","  accident  ,"
"kensington-unitarians.org.uk","to faults"," caused by","  accident  ,"
"marine.gov.uk","fault was not"," caused by","  misuse  , an"
"tclt.org.uk","may have been"," caused by","  negligence  ."
"greywall.demon.co.uk","when"," caused by","  alcohol  ). TB"
"bordercrossings.org.uk","conditions"," caused by","  cell  sharing"
"pacetelecom.co.uk","productivity"," caused by","  illness  can be"
"gfdl.marxists.org.uk","damage"," caused by","  impact  or"
"theedge.abelgratis.co.uk","illness is"," caused by","  demon"
"bordercrossings.org.uk","frustration"," caused by","  promotion"
"ukcorporator.co.uk","15 min, not"," caused by","  arrhythmia  ,"
"wellingboroughtownfc.co.uk","and is usually"," caused by","  someone"
"brucesfingers.co.uk","of stress"," caused by","  today  ''s"
"rumwoodnurseries.co.uk","model would be"," caused by","  uncertainty"
"medacs.co.uk","effects"," caused by","  tin  . The JECFA"
"crbs.org.uk","the output,"," caused by","  netdata  or"
"questors.org.uk","% of crimes are"," caused by","  drugs  . ?"
"propertypro.co.uk","accidents are"," caused by","  car-drivers  ."
"pointlessnostalgic.co.uk","as being"," caused by","  curvature  in"
"greywall.demon.co.uk","disease"," caused by","  bacteria  of"
"www-sedgwick.esc.cam.ac.uk","disruption"," caused by","  shifts  and the"
"letsgogardening.co.uk","there was any"," caused by","  inability  to"
"whitedragon.org.uk",", the damage"," caused by","  horses  and the"
"evuk.co.uk","the bends, is"," caused by","  nitrogen"
"tuc.org.uk","force trauma"," caused by","  impact  from a"
"microscopy-uk.org.uk","early deaths"," caused by","  smoking  saved"
"rodge.force9.co.uk","loss in sweat"," caused by","  exertion  . In"
"alternatetakes.co.uk","such port? not"," caused by","  charterers  ''"
"console-news.dcemu.co.uk","time pressure"," caused by","  attendance  ."
"coffee-house.org.uk","that will be"," caused by","  disclosure  ."
"darknessandlight.co.uk","for keratitis"," caused by","  conditions"
"easterneyeuk.co.uk","the harm"," caused by","  smoke  , but"
"theseguys.co.uk","dangers"," caused by","  bottle-neck"
"go-newfocus.co.uk","mainly been"," caused by","  oil  spills and"
"rousette.org.uk","distraction"," caused by","  re-inking"
"biblicalstudies.org.uk","will be"," caused by","  conditions"
"royagcol.ac.uk","the prejudice"," caused by","  disclosure"
"alternatetakes.co.uk","grounding was"," caused by","  charterers  ''"
"periodproperty.co.uk","issues were"," caused by","  divisions"
"candlemaking.org.uk","is being"," caused by","  aircraft  . ''"
"classic-literature.co.uk","crises"," caused by","  religion  than"
"parentzonescotland.gov.uk","of the damage"," caused by","  deer  in farms"
"growell.co.uk","food prices"," caused by","  suppliers"
"archive.food.gov.uk","and the alarms"," caused by","  bodies  of"
"william-shakespeare.org.uk","behavior"," caused by","  hash"
"westdean.org.uk","damage may be"," caused by","  defence"
"greywall.demon.co.uk","The disease is"," caused by","  infection"
"perse.co.uk",", damage"," caused by","  guest  etc."
"alternatetakes.co.uk","grounding was"," caused by","  errors  in her"
"sscs.bham.ac.uk","disease also"," caused by","  trypanosomes"
"boysstuff.co.uk","capacity,"," caused by","  vomit  , mucus"
"christis.org.uk","head injuries"," caused by","  crashes  while"
"headheritage.co.uk","signals"," caused by","  emission  from"
"europe.tiscali.co.uk",": accidents"," caused by","  falls  from"
"darknessandlight.co.uk","the cornea),"," caused by","  bacteria  or"
"practical-martial-arts.co.uk","the harm"," caused by","  drugs  misuse."
"warwickshire-wildlife-trust.org.uk","","caused by","  reductions  in"
"archaeology.co.uk","injury"," caused by","  negligence  ("
"whom.co.uk","blue waters"," caused by","  mountain  dust"
"voice-online.co.uk","disorders"," caused by","  defects  in a"
"parentzonescotland.gov.uk","for the damage"," caused by","  deer  . On a"
"tasi.ac.uk","life can all be"," caused by","  epilepsy  but"
"rousette.org.uk","distraction"," caused by","  re-inking  ,"
"gfdl.marxists.org.uk","or service)"," caused by",""
"psnc.org.uk","undoubtedly"," caused by","  concern  over"
"dmag.org.uk","that barriers"," caused by","  Inadequate"
"silverprint.co.uk","illusions are"," caused by","  changes  in"
"new-agri.co.uk","to civilians"," caused by","  sanctions  ."
"integral.co.uk","also have been"," caused by","  smoking  and it"
"integral.co.uk","may have been"," caused by","  exposure  to"
"transgirl.co.uk","phone charges"," caused by","  ''infinite"
"spidercox.co.uk","-- whether"," caused by","  massacre  and"
"synergy-health.co.uk","aft loading (","caused by","  acceleration"
"fuelwood.co.uk","nuisance"," caused by","  vehicle"
"newhumanist.org.uk","area"," caused by","  switches  to"
"naworth.co.uk","problems were"," caused by","  lack  of"
"farm.org.uk","of doubt loss"," caused by","  market"
"unixhelp.ed.ac.uk",""" loss "" ]"," caused by",""
"hastingspress.co.uk","of infections"," caused by","  pathogens"
"dmag.org.uk","Deaf, may be"," caused by","  educators  who"
"spot-on-sundials.co.uk","can be"," caused by","  words  ,"
"biotopics.co.uk","illness"," caused by","  heredity  or"
"ukcorporator.co.uk","15min not"," caused by","  hypovolaemia"
"leyman.demon.co.uk","","caused by","  stubs  and"
"allotment.org.uk","like those"," caused by","  cluster  bombs"
"theatreguidelondon.co.uk","and wastage"," caused by",""
"brass.cf.ac.uk","the damage was"," caused by","  republicans"
"palimpsest.org.uk","resentment"," caused by","  disbelief  in,"
"penninewaterways.co.uk","accidents are"," caused by","  driver  error,"
"independentliving.co.uk","could be"," caused by","  consumers"
"bectu.org.uk","but"," caused by","  work  problems"
"epilepsy.org.uk","faced were"," caused by","  culture  and"
"ouabc.co.uk","the problems"," caused by","  technology  ."
"4rfv.co.uk","damage"," caused by","  fox  and deer on"
"women.timesonline.co.uk","tragedy was"," caused by","  police"
"ind.homeoffice.gov.uk","the risks"," caused by","  dust  , fumes"
"indigogroup.co.uk","erosion"," caused by","  grazing"
"cma.soton.ac.uk",". '' Illness"," caused by","  sin  says"
"britishblogs.co.uk","(usually"," caused by","  magnesium  in"
"satra.co.uk","), a condition"," caused by","  acid  leaking"
"newtonproject.ic.ac.uk","and crime"," caused by","  prohibition  ."
"rmd.dft.gov.uk","or damage"," caused by","  someone  other"
"src.le.ac.uk","damage"," caused by","  war  . [ 6 ]"
"mehbooba.co.uk","demand"," caused by",""
"ias.org.uk","terms, it is"," caused by","  demand"
"ymss.org.uk","local stream"," caused by","  run-off  from a"
"nervous.co.uk","infections"," caused by","  bacteria  ."
"nervous.co.uk","illnesses"," caused by","  bacteria"
"nervous.co.uk","infections"," caused by","  bacteria  ."
"nervous.co.uk",", are usually"," caused by","  viruses  ."
"freenetpages.co.uk","has been"," caused by","  unionism  , or"
"moorlandschool.co.uk","","caused by","  film  warpage."
"caroluk.co.uk",": Drowsiness"," caused by",""
"classicrally.org.uk","in deaths"," caused by","  heart"
"assemblage.group.shef.ac.uk","jaw,"," caused by","  radiotherapy"
"musica.co.uk","collapse"," caused by","  sanctions  ,"
"musica.co.uk","is not a famine"," caused by","  drought  that"
"william-shakespeare.org.uk","agriculture"," caused by","  climate"
"shipit.co.uk","","caused by","  application"
"wellerassociates.co.uk","the problem is"," CAUSED by","  stress  ,"
"harringtonmuseum.org.uk","had been"," caused by","  exhaustion"
"fashionunited.co.uk","of the deer"," caused by","  hunting  helps"
"accfinweb.account.strath.ac.uk","symptoms"," caused by","  stress  . The"
"rothwells.co.uk","- it can be"," caused by","  problems  with"
"falconbury.co.uk","infancy not"," caused by","  heredity  ."
"tasi.ac.uk","alleged to be"," caused by","  errors  or"
"blogistan.co.uk","condition"," caused by","  failure  of the"
"lse.ac.uk","hip, which is"," caused by","  problems  with"
"raintree-health.co.uk","and is"," caused by","  ridges  on the"
"mailman.greennet.org.uk","(","caused by","  bacteria"
"hulltrains.co.uk","injury"," caused by","  negligence  ."
"spotonmarketing.co.uk","dehydration"," caused by","  air  travel."
"andsoitbegins.co.uk","problems are"," caused by","  children"
"artscentral.co.uk","illnesses are"," caused by","  dehydration  ."
"mimas.ac.uk","it to be"," caused by","  ley  lines,"
"eng.bham.ac.uk","15 min, not"," caused by","  arrhythmia  ,"
"eng.bham.ac.uk","15min not"," caused by","  hypovolaemia"
"tripadvisor.co.uk","the world"," caused by","  lack  of water"
"blog.ctrlbreak.co.uk","my front teeth"," caused by","  years  of"
"toast-uk.org.uk","of stress"," caused by","  today  ''s"
"politicalcartoon.co.uk","in the scene,"," caused by","  friction"
"fylde.demon.co.uk","end the misery"," caused by","  class  A drug"
"shaneglobal.co.uk","of stress"," caused by","  today  ''s"
"brucesfingers.co.uk","UFO sightings"," caused by","  freak  weather"
"ypressalient.co.uk","Island was"," caused by","  water  pumps"
"comsys.co.uk","and the litter"," caused by","  parades  , and"
"psalmody.co.uk","growth can be"," caused by",""
"byhandsandfeet.co.uk",", and was"," caused by","  starvation  ."
"byhandsandfeet.co.uk","diseases"," caused by","  avitaminosis"
"www-micro.msb.le.ac.uk","cramping"," caused by","  passage  of"
"cjd.ed.ac.uk",", poverty is"," caused by","  sin  ."
"jokefile.co.uk","has been"," caused by",""
"selsdonbaptist.org.uk","believed to be"," caused by","  gas"
"mansfield.gov.uk","disruptions"," caused by","  war  and"
"artscentral.co.uk","the problems"," caused by","  immigration"
"ookami.co.uk","problems"," caused by","  fisheries  in"
"smoothhound.co.uk","damage"," caused by","  blows  to the"
"liverpoolmuseums.org.uk",", and deaths"," caused by","  prescription"
"amlwchdata.co.uk","labour pool"," caused by","  migrants  is"
"uxisweb1.brunel.ac.uk","the confusion"," caused by","  exchange"
"blackpresence.co.uk","from wounds"," caused by","  shotguns  or"
"teamsolutions.co.uk","poisoning"," caused by","  bacteria  on"
"universalenergycentre.co.uk","absentees,"," caused by","  injuries  and"
"aria.co.uk","wear and tear"," caused by","  hundreds  of"
"aria.co.uk","was, in fact,"," caused by","  metal  fatigue"
"antiquity.ac.uk","losses"," caused by","  storms  may not"
"antiquity.ac.uk","than those"," caused by","  earthquakes  ,"
"bathholidayrooms.co.uk","indeed been"," caused by","  crew"
"bathholidayrooms.co.uk","of a grounding"," caused by","  crew"
"bathholidayrooms.co.uk","a grounding"," caused by","  crew"
"tibenham.fsnet.co.uk","difficulties"," caused by","  stage  of moult"
"selecthr.co.uk","growth can be"," caused by","  changes  in the"
"healeyhero.co.uk","animal"," caused by","  pest  control"
"qcanet.co.uk","variation is"," caused by",""
"jbe.gold.ac.uk","been"," caused by","  fishing  . On"
"jbe.gold.ac.uk","reduction,"," caused by","  fishing  , in"
"btp.police.uk","impediments"," caused by","  tongue  studs,"
"isomatic.co.uk",". The harm"," caused by","  removal  must"
"uea.ac.uk",". The harm"," caused by","  removal  must"
"acidsmile.co.uk","from diseases"," caused by","  smoking  . But"
"studenthealth.co.uk","problems"," caused by","  mink  are clear"
"ncadc.org.uk","loss had been"," caused by","  want  of due"
"thenewspaper.org.uk","temperature"," caused by","  air"
"compbio.dundee.ac.uk","this figure is"," caused by","  hares"
"compbio.dundee.ac.uk","of the amount"," caused by","  hare  shooting"
"compbio.dundee.ac.uk","of hare deaths"," caused by","  man  , apart"
"compbio.dundee.ac.uk","wild animals"," caused by","  man  . The"
"compbio.dundee.ac.uk",". of the amount"," caused by","  hare  shooting"
"nationaladoptionweek.org.uk","could also"," caused by","  methicillin"
"www2.warwick.ac.uk","pancreatitis"," caused by","  gallstones  ,"
"www2.warwick.ac.uk","not directly"," caused by","  alcohol  , it is"
"benhenry.co.uk","and vibration"," caused by","  artillery"
"heraldav.co.uk","ozone is"," caused by","  chemical"
"vote4animals.org.uk","of ill-health"," caused by","  pollutants  /"
"homepages.feis.herts.ac.uk","damage"," caused by","  cuts  and"
"twistednerve.co.uk","fifths were"," caused by","  handling  ,"
"applebymanor.co.uk","the yacht was"," caused by","  dust"
"alexanderharris.co.uk","infection"," caused by",""
"woodlandsfarm.co.uk","is usually"," caused by","  magnesium  in"
"herts.police.uk","disease"," caused by","  viruses  that"
"eprints.gla.ac.uk","the injustice"," caused by","  vouchers  the"
"nmm.ac.uk","diarrhoea are"," caused by","  viruses"
"visitsouthwest.co.uk","disruption"," caused by",""
"bl.uk","the losses"," caused by","  hunting  If"
"ballet.co.uk","Excitement is"," caused by","  anticipation"
"unixhelp.ed.ac.uk","will have been"," caused by","  injuries  on"
"incore.ulst.ac.uk","warts are"," caused by","  types  6 or 11. ("
"sanger.ac.uk","up river but is"," caused by","  flash  flood"
"ioe.ac.uk","impact"," caused by","  washing  ,"
"centrica.co.uk","of chaos"," caused by","  roadworks  at"
"allotment.org.uk","can be"," caused by","  osteomalacia"
"bbc.co.uk","in the port"," caused by","  sea  swell"
"bbc.co.uk","in the port"," caused by","  sea  swell"
"ciao.co.uk",". It could be"," caused by","  food  not being"
"holdthefrontpage.co.uk","blindness"," caused by","  brain  damage."
"irr.org.uk","to steel coils"," caused by","  seawater"
"classic-literature.co.uk","with cystitis"," caused by","  infections  . I"
"cnetwork.co.uk","children"," caused by","  sanctions  , """
"manchesteronline.co.uk","and most are"," caused by","  employers"
"kwintessential.co.uk","or delay is"," caused by","  force  majeure"
"photo-i.co.uk","Five Agents"," caused by","  emotions  ,"
"kwintessential.co.uk","constipation"," caused by","  prescription"
"lse.ac.uk",", which is"," caused by",""
"defra.gov.uk","disease"," caused by","  fatigue  and"
"wessexscene.co.uk","are commonly"," caused by","  hand-shake  ,"
"publications.parliament.uk","and wastage"," caused by",""
"painsupport.co.uk","of the overlay"," caused by","  lighting  . The"
"allotment.org.uk","on pollution"," caused by","  mercury  ,"
"fortunecity.co.uk","are actually"," caused by","  differences"
