"corpus","ukwac"
"subcorpus","-"
"concordance size","323973"
"query","Query:[lc=""during"" | lemma_lc=""during""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"raworths.co.uk","  purposes  ","during"," such research"
"liverpool.freeexchange.co.uk","in  fledglings  ","during"," the firsts"
"monju.pwp.blueyonder.co.uk","  detection  ","during"," rebooting."
"creditplus.co.uk","  Australians  ","during"," wartime. It"
"creditplus.co.uk","  airmen  ","during"," the Second"
"supertarot.co.uk","  leader  ","during"," regularly"
"ownersdirect.co.uk","of  times  ","during"," its history."
"youclaim.co.uk","takes  place  ","during"," selected"
"wesparkle.co.uk","to the  program  ","during"," execution of"
"martininstitute.ox.ac.uk","takes  place  ","during"," selected"
"payaway.co.uk","  visitors  ","during"," 2004, only 15 %"
"propheticvision.org.uk","the  timeline  ","during"," Fashion Week,"
"gfwi.org.uk",".  Boredom  ","during"," travel can be"
"accfinweb.account.strath.ac.uk","safe  passage  ","during"," one seige. She"
"constipationadvice.co.uk","  advantages  ","during"," this period,"
"propheticvision.org.uk","over 150  shows  ","during"," the"
"the-morningstar.co.uk","  change  ","during"," the time you"
"troubleatwork.org.uk","died in  battle  ","during"," the French"
"ml-consult.co.uk","the  air  ","during"," Exercise"
"connectpa.co.uk","  enthusiasm  ","during"," the summer"
"rcpsglasg.ac.uk","and  animals  ","during"," the feeding"
"troubleatwork.org.uk","and  swords  ","during"," the French"
"solid-edge.co.uk","version to  air  ","during"," Comic Relief."
"bcentral.co.uk","the  schedule  ","during"," 2001. New"
"comp.glam.ac.uk","the best  issue  ","during"," the year or the"
"nowt2do.co.uk","  countries  ","during"," the communist"
"youngresources.co.uk","  students  ","during"," their work"
"ageconcern.org.uk","the  site  ","during"," my break time"
"journalism.cf.ac.uk","legal  history  ","during"," crucial times"
"rcpsglasg.ac.uk","that  bite  ","during"," the day, and"
"leyman.demon.co.uk","for  use  ","during"," productions."
"samoa.co.uk","of real  genius  ","during"," their careers"
"skiptonweb.co.uk","  camp  ","during"," the years of"
"rcpsglasg.ac.uk","to the  host  ","during"," feeding. Map"
"leyman.demon.co.uk","minute  breaks  ","during"," the day and a"
"the-faith.org.uk","minute  breaks  ","during"," the day and a"
"hulltrains.co.uk","for  advice  ","during"," preparation,"
"westyorkshire.police.uk","the  Vikings  ","during"," her father ''s"
"comp.glam.ac.uk","  sitting-in  ","during"," the quiz and"
"candlemaking.org.uk","I love  smoking  ","during"," sex. (Anon) Dr"
"gfwi.org.uk",".  Illness  ","during"," pregnancy can"
"ggr-associates.co.uk",". 12.  Travel  ","during"," placements"
"biblicalstudies.org.uk","a war  leader  ","during"," the"
"aeroflight.co.uk","and  pupils  ","during"," classes in the"
"youngresources.co.uk","for 10  weeks  ","during"," the last 2"
"uclan.ac.uk","the  Library  ","during"," evenings and"
"natcorp.ox.ac.uk","'' best  player  ","during"," the opening"
"freenetpages.co.uk","on the  scene  ","during"," the morning"
"pocketgps.co.uk","  quantities  ","during"," the heather"
"candlemaking.org.uk","to good  yields  ","during"," transition."
"cleanersafergreener.gov.uk","  experiences  ","during"," reviews."
"weddingguide.co.uk","open every  day  ","during"," Refugee Week."
"biotopics.co.uk","the 18  months  ","during"," which this"
"biotopics.co.uk","  documents  ","during"," the"
"ownersdirect.co.uk","various  means  ","during"," the"
"journalism.cf.ac.uk","human  world  ","during"," celebrations"
"kinnethmont.co.uk","  families  ","during"," life ''s major"
"thecornerhouse.org.uk","of  activities  ","during"," the 2002-2003"
"contemporaryart4all.co.uk","silver  sheen  ","during"," preservation"
"whistler.arts.gla.ac.uk","a Fill-Up  tool  ","during"," casing"
"ucml.org.uk","to the  World  ","during"," his latter"
"nasuwt.org.uk","positive  mood  ","during"," the last month"
"weddingguide.co.uk","  buildings  ","during"," the early"
"troubleatwork.org.uk","the  artillery  ","during"," an attack on"
"hulltrains.co.uk","a  topic  ","during"," the review."
"candlemaking.org.uk","of yield  loss  ","during"," this period"
"fantasyfactory.co.uk","or  convents  ","during"," the reign of"
"nasuwt.org.uk","three  charges  ","during"," a prosecution"
"twgraduates.co.uk"," ","during"," a failure is"
"freenetpages.co.uk","  hospitals  ","during"," the fracas."
"cleanersafergreener.gov.uk","  levels  ","during"," experiences"
"ggr-associates.co.uk","at any  stage  ","during"," this process"
"journalism.cf.ac.uk","  history  ","during"," the"
"theobamber.co.uk","mineral  water  ","during"," an earlier"
"samoa.co.uk","England  game  ","during"," the week and he"
"stmarylebow.co.uk","  damage  ","during"," an air raid. At"
"socialism.org.uk","with  crayons  ","during"," a"
"practicalpc.co.uk","up their  beds  ","during"," the cold and"
"uhlc.org.uk","on  events  ","during"," the Munich"
"dcs.gov.uk","  instalments  ","during"," the year -"
"robertbuchanan.mysite.wanadoo-members.co.uk","House  offices  ","during"," office hours"
"glasgowarchitecture.co.uk","other  worlds  ","during"," the darkest"
"candlemaking.org.uk","of  farms  ","during"," the"
"candlemaking.org.uk","the  trenches  ","during"," the battle of"
"troubleatwork.org.uk","Ross  in1798  ","during"," the Wexford"
"fontoon.co.uk","Council  staff  ","during"," the Johnson"
"higherstate.co.uk","''s  hospital  ","during"," their recent"
"flycom.co.uk","get much  sleep  ","during"," the"
"ace.abertay.ac.uk","  authorities  ","during"," the spending"
"fantasyfactory.co.uk","art  world  ","during"," a time when"
"portfolio.mvm.ed.ac.uk","  Gypsies  ","during"," World War II,"
"troubleatwork.org.uk","defend a  fort  ","during"," the American"
"whistler.arts.gla.ac.uk","the rig  floor  ","during"," running/"
"selectideas.co.uk","to my said  wyfe  ","during"," the saide term"
"whistler.arts.gla.ac.uk","  efficiency  ","during"," the running/"
"tonearm.co.uk",". At some  time  ","during"," that period"
"troubleatwork.org.uk","in the  ranks  ","during"," an American"
"perse.co.uk","to  nibble  ","during"," the speeches"
"accfinweb.account.strath.ac.uk","''s  absence  ","during"," the Wars of the"
"planetveggie.co.uk","Star Wars  logo  ","during"," the Return Of"
"sle.sharp.co.uk","  protection  ","during"," divinatory or"
"northill.demon.co.uk","of  hovercraft  ","during"," National"
"northill.demon.co.uk","gives  lecture  ","during"," the Peace"
"northill.demon.co.uk","  behaviour  ","during"," braking. 5"
"memes.org.uk","  centre  ","during"," the months of"
"exclusive-fountains.co.uk","their  rounds  ","during"," the night, and"
"brucesfingers.co.uk","the  payload  ","during"," flight, using"
"glasgowarchitecture.co.uk","  abundance  ","during"," times of"
"raf.mod.uk","developed  PAD  ","during"," follow-up."
"spazmonkey.co.uk","  distances  ","during"," the winter."
"spazmonkey.co.uk",".  Movements  ","during"," 2000 Date Lat."
"englishmonarchs.co.uk","  popularity  ","during"," the first"
"royalpioneercorps.co.uk","  programme  ","during"," April 2006."
"deni.gov.uk","nine  years  ","during"," which time"
"blog.natbat.co.uk","  events  ","during"," his tour of"
"new.overseas-trade.co.uk","  attention  ","during"," each session"
"rostau.org.uk","a  specialty  ","during"," F2. MRCP Part 1"
"punkoiuk.co.uk","  repositories  ","during"," the three"
"duncancumming.co.uk","no  contact  ","during"," the years he"
"countywedding.co.uk","  qualities  ","during"," the coming"
"pasa.doh.gov.uk","East  theatre  ","during"," the Second"
"orange.co.uk","  concentrator  ","during"," flight and"
"ri.ac.uk","to the  cinema  ","during"," the meeting."
"j-sainsbury.co.uk","with  snow  ","during"," our visit. The"
"windmill.co.uk","on the  bird  ","during"," daylight"
"windmill.co.uk","hiding  places  ","during"," the day with a"
"bioinf.org.uk","  formulas  ","during"," manufacture"
"bioinf.org.uk","  formulas  ","during"," manufacture"
"portakabin.co.uk","  scoreboard  ","during"," the first half"
"workingintheuk.gov.uk","raise  funds  ","during"," a night at the"
"workingintheuk.gov.uk","average  race  ","during"," the evening."
