"corpus","ukwac"
"subcorpus","-"
"concordance size","101823"
"query","Query:[lc=""during"" | lemma_lc=""during""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"monju.pwp.blueyonder.co.uk","detection"," during","  rebooting  ."
"creditplus.co.uk","Australians"," during","  wartime  . It"
"wesparkle.co.uk","to the program"," during","  execution  of"
"suffolkchurches.co.uk","lobbying"," during","  opposition  to"
"evuk.co.uk","air in."," During","  treatment  for"
"gfwi.org.uk",". Boredom"," during","  travel  can be"
"lums.lancs.ac.uk","from? James:"," During","  today  ''s"
"hastingspress.co.uk","other sources"," during","  treatment  ."
"connells.co.uk","cool"," during","  operation  . As"
"david.dupplaw.me.uk",": poor weather"," during","  summer"
"hastingspress.co.uk","and Finches)."," During","  treatment"
"thamesweb.co.uk","is organised"," during","  treatment"
"glasgowarchitecture.co.uk","abundance"," during","  times  of"
"brucesfingers.co.uk","afterwards"," during","  storage  ."
"assemblyrooms.org.uk","threatened or"," during","  capture  of"
"ownersdirect.co.uk",", and even"," during","  games  . This is"
"gfwi.org.uk","different"," during","  pregnancy  so"
"evuk.co.uk","dive site and"," during","  transport"
"evuk.co.uk","on site and"," during",""
"gfwi.org.uk","best avoided"," during","  pregnancy  ,"
"zem.demon.co.uk","portals"," during","  travel  from"
"jmc.ac.uk","caused"," during","  photography  ."
"adtrader.co.uk","the sea"," during","  darkness  . The"
"cronab.demon.co.uk","prime item"," during","  storage  ,"
"windmill.co.uk","on the bird"," during","  daylight"
"boardsonline.co.uk","have said to us"," during","  campaign"
"webjcli.ncl.ac.uk","","during","  lessons  . They"
"hypnos.co.uk","into pork"," during","  cooking  . Food"
"leyman.demon.co.uk","for use"," during","  productions  ."
"victorianartinbritain.co.uk","the two sides"," during","  school  hours"
"gfwi.org.uk","available,"," during","  travel  and at"
"greywall.demon.co.uk","into the body"," during","  injury"
"bioinf.org.uk","formulas"," during","  manufacture"
"bioinf.org.uk","formulas"," during","  manufacture"
"raf.mod.uk","developed PAD"," during","  follow-up  ."
"rcpsglasg.ac.uk","to the host"," during","  feeding  . Map"
"learningtogether.co.uk","purely so that"," during","  pauses  in the"
"hulltrains.co.uk","for advice"," during","  preparation  ,"
"tauntondeane.gov.uk","days a week,"," during","  office  or"
"teamtechnology.co.uk","from my head"," during","  periods  of"
"ridley.cam.ac.uk","in March 2002."," During","  months  of"
"candlemaking.org.uk","I love smoking"," during","  sex  . (Anon) Dr"
"gfwi.org.uk",". Illness"," during","  pregnancy  can"
"ggr-associates.co.uk",". 12. Travel"," during","  placements"
"aeroflight.co.uk","and pupils"," during","  classes  in the"
"uclan.ac.uk","the Library"," during","  evenings  and"
"ml-consult.co.uk","which crashed"," during","  night  flying,"
"backroadstouring.co.uk","020 8659 6688"," during","  office  hours."
"candlemaking.org.uk","to good yields"," during","  transition  ."
"cleanersafergreener.gov.uk","experiences"," during","  reviews  ."
"bowness.demon.co.uk","oils to avoid"," during","  pregnancy"
"gfwi.org.uk","can be serious"," during","  pregnancy"
"cronab.demon.co.uk","to be produced"," during","  development  ,"
"exeter.ac.uk","on Thursday. )"," During","  Term  Outside"
"creativematch.co.uk","couplets"," during","  dances  . The"
"journalism.cf.ac.uk","human world"," during","  celebrations"
"kinnethmont.co.uk","families"," during","  life  ''s major"
"hastingspress.co.uk","be avoided"," during","  reproduction"
"brmb.co.uk","Sun, mainly"," during","  daylight  ,"
"contemporaryart4all.co.uk","silver sheen"," during","  preservation"
"thepixelfarm.co.uk","to catch water"," during","  storms  , or old"
"cronab.demon.co.uk","requirement."," During","  contract"
"webjcli.ncl.ac.uk","","during","  instruction  ,"
"tonearm.co.uk","management"," during",""
"musictech.org.uk","Europe"," during","  transition"
"landscapingpavingstone.co.uk","seems popular"," during","  tests  but"
"orange.co.uk","concentrator"," during","  flight  and"
"compsoc.dur.ac.uk","and frantic"," during","  periods  where"
"ageconcern.org.uk","from work (","during","  breaks  of"
"thepixelfarm.co.uk","to be done. )"," During","  construction"
"mud.co.uk","learned that"," during","  conferences"
"robertbuchanan.mysite.wanadoo-members.co.uk","Library"," during","  opening  times"
"cleanersafergreener.gov.uk","levels"," during","  experiences"
"eng.bham.ac.uk","of the gigs,"," during","  rehearsal"
"nfms.org.uk","needs not only"," during","  transition"
"nfms.org.uk","support"," during","  inclusion  ."
"gfwi.org.uk","Travelling"," during","  pregnancy  is"
"hastingspress.co.uk","be safely used"," during","  reproduction"
"zem.demon.co.uk","of attributes"," during","  level  up as it"
"redsevenleisure.co.uk","erratically"," during","  movement  , or"
"byzantium.ac.uk","the sun"," during","  equinoxes  ,"
"ironmountain.co.uk","Thursday"," during","  vacations  ) to"
"imprint.co.uk","Thursday"," during","  vacations  ) to"
"farncombeboats.co.uk","Thursday"," during","  vacations  ) to"
"robertbuchanan.mysite.wanadoo-members.co.uk","House offices"," during","  office  hours"
