"corpus","ukwac"
"subcorpus","-"
"concordance size","3789448"
"query","Query:[lc=""from"" | lemma_lc=""from""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"medievalfreeco.org.uk","  quotation  ","from"," the US"
"exeter.ac.uk","in  advance  ","from"," the Porters."
"carbonflo.co.uk","  excuse  ","from"," the list below"
"hsc.uwe.ac.uk","drunk the  cup  ","from"," the sparkling"
"dptac.gov.uk","takes  effect  ","from"," 1 July 2002 in"
"solid-edge.co.uk","sales  manager  ","from",""
"martininstitute.ox.ac.uk","turn of  phrase  ","from"," British"
"martininstitute.ox.ac.uk","  sound  ","from"," "" æ "". Isabel,"
"medievalfreeco.org.uk","two  articles  ","from"," February or"
"medievalfreeco.org.uk","  improvement  ","from"," the April 2003"
"medievalfreeco.org.uk","  documents  ","from"," CIPU for"
"exeter.ac.uk","mail  service  ","from"," your"
"martininstitute.ox.ac.uk","  deviation  ","from"," the norm."
"medievalfreeco.org.uk","UN  sources  ","from"," 1998 which"
"hsc.uwe.ac.uk","but  advantage  ","from"," his society."
"martininstitute.ox.ac.uk","lots of  words  ","from"," American"
"dptac.gov.uk","wiring  money  ","from"," one member"
"medievalfreeco.org.uk","of  material  ","from"," a Home Office"
"martininstitute.ox.ac.uk","  English  ","from"," an Australian"
"medievalfreeco.org.uk","  persecution  ","from"," guerrilla or"
"medievalfreeco.org.uk","  material  ","from"," older sources"
"vacant.org.uk","a  development  ","from"," residual"
"cs.nott.ac.uk","  conference  ","from"," 10.00AM --"
"ageconcern.org.uk","copy a re  view  ","from"," one s ite to"
"martininstitute.ox.ac.uk","  content  ","from"," blogs (penned"
"martininstitute.ox.ac.uk","''new ''  words  ","from"," different"
"martininstitute.ox.ac.uk","stop  people  ","from"," using """
"martininstitute.ox.ac.uk","the  children  ","from"," doing"
"hsc.uwe.ac.uk","the evil  demon  ","from"," whose"
"hsc.uwe.ac.uk",".  Judge  ","from"," that of the"
"exeter.ac.uk","on  anything  ","from"," cinema"
"medievalfreeco.org.uk","  information  ","from"," these latter"
"badgirls.co.uk","of  studies  ","from"," the history"
"hi-europe.co.uk","and  importers  ","from"," this"
"solid-edge.co.uk","checkout  girl  ","from"," Hull, the"
"solid-edge.co.uk","of his  money  ","from"," property and"
"medievalfreeco.org.uk","of  returnees  ","from"," western"
"medievalfreeco.org.uk","  information  ","from"," the"
"medievalfreeco.org.uk","  returns  ","from"," neighbouring"
"medievalfreeco.org.uk","of  material  ","from"," selected"
"hsc.uwe.ac.uk","of a  mile  ","from"," the public"
"medievalfreeco.org.uk"," ","from"," the APCI, the"
"tonearm.co.uk","Thus 600  cases  ","from"," Wiesloch were"
"exeter.ac.uk","  cards  ","from"," the college to"
"exeter.ac.uk","friendly  face  ","from"," 6:30pm until"
"martininstitute.ox.ac.uk","odd  leftover  ","from"," Latin class."
"hsc.uwe.ac.uk","the  occasion  ","from"," a living"
"brigglife.co.uk","  games  ","from"," £40 to £30 -"
"medievalfreeco.org.uk","  seekers  ","from"," these"
"medievalfreeco.org.uk","a direct  quote  ","from"," 2002 or 2001."
"vacant.org.uk","well as  risks  ","from"," abandoning"
"vacant.org.uk","  functions  ","from"," numerous"
"hsc.uwe.ac.uk","an  approval  ","from"," the most"
"martininstitute.ox.ac.uk",",  aliens  ","from"," space etc). I"
"hsc.uwe.ac.uk","  freedom  ","from"," affectation."
"birminghamfoe.org.uk","a few  yards  ","from"," him and close"
"medievalfreeco.org.uk","the  material  ","from"," the US"
"martininstitute.ox.ac.uk","? james  s  ","from"," newcastle I am"
"ownersdirect.co.uk","good.  View  ","from"," the Road"
"hsc.uwe.ac.uk","by what  dropt  ","from"," him in"
"martininstitute.ox.ac.uk","? ) and  school  ","from"," escole (a hard"
"exeter.ac.uk","usual  option  ","from"," college is"
"hsc.uwe.ac.uk","view  society  ","from"," the ''vantage"
"chichesterjazzclub.co.uk","  graduates  ","from"," other"
"tps.org.uk","  files  ","from"," which you may"
"hsc.uwe.ac.uk","last  appeal  ","from"," all other"
"martininstitute.ox.ac.uk",". I hear  people  ","from"," all ages"
"martininstitute.ox.ac.uk","  distance  ","from"," the border"
"hi-europe.co.uk","a  declaration  ","from"," the overseas"
"hsc.uwe.ac.uk","  deviation  ","from"," the good taste"
"martininstitute.ox.ac.uk","  dictionary  ","from"," when my mum was"
"martininstitute.ox.ac.uk",". Take a  tip  ","from"," the German"
"geologywales.co.uk","  reaction  ","from"," Peter Knight,"
"medievalfreeco.org.uk","  information  ","from"," one paragraph"
"ageconcern.org.uk","in this  site  ","from"," the outside of"
"solid-edge.co.uk","  counsel  ","from"," a limited"
"hsc.uwe.ac.uk","  separation  ","from"," Caroline for"
"tonearm.co.uk","  call  ","from"," Grafeneck"
"antcarparts.co.uk","like a  cry  ","from"," the house, at"
"solid-edge.co.uk","format. ""  View  ","from"," the boardroom"
"tonearm.co.uk","of  depression  ","from"," seeing a lot of"
"tps.org.uk","  something  ","from"," elsewhere."
"tonearm.co.uk","  transports  ","from"," Wiesloch,"
"tps.org.uk","  things  ","from"," within the"
"hi-europe.co.uk","a  certificate  ","from"," the overseas"
"ageconcern.org.uk","gift  vouchers  ","from"," leading"
"xibalba.demon.co.uk","  biologists  ","from"," Tel Aviv"
