"corpus","ukwac"
"subcorpus","-"
"concordance size","1212146"
"query","Query:[lc=""from"" | lemma_lc=""from""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"brmb.co.uk","sun is shining"," from","  dawn  till noon"
"englishmonarchs.co.uk",", some of them"," from","  anglers  or"
"victorianartinbritain.co.uk","risk of damage"," from","  cavitation  ."
"martininstitute.ox.ac.uk","with Tony"," from","  Reading  ."
"victorianartinbritain.co.uk","can be shifted"," from","  side  to side to"
"xibalba.demon.co.uk","transmitted"," from","  parent  to"
"haileybury.herts.sch.uk","be contacted."," From","  time  to time"
"journalism.cf.ac.uk","record."," From",""
"chichesterjazzclub.co.uk","income"," from","  government  or"
"bordercrossings.org.uk","to evolve away"," from","  batch"
"victorianartinbritain.co.uk","may differ"," from","  pump  to pump. A"
"accfinweb.account.strath.ac.uk","time step"," from","  ''auto  '' by"
"samoa.co.uk","'' series"," from","  Expansion"
"talyllyn.co.uk","process"," from","  clauses  21 and"
"exeter.ac.uk","If you are away"," from","  college  for"
"bordercrossings.org.uk","format"," from","  www  . isc. ac."
"samoa.co.uk","and that comes"," from","  someone  who"
"peteralan.co.uk","latrine come"," from","  lots  of"
"cheers-wine-merchants.co.uk","B. P. (1986). """," From","  rules  to"
"candlemaking.org.uk","inputs"," from","  agribusiness"
"mariners-l.co.uk","'' bedroom,"," from","  games  to drama"
"horseracingbets.co.uk","separate that"," from","  theory  . The"
"tonearm.co.uk","transferred"," from","  life  to death """
"cheers-wine-merchants.co.uk","the N. L."," from","  mainstream"
"englishmonarchs.co.uk","raising funds"," from","  anglers  in"
"medievalfreeco.org.uk","persecution"," from","  guerrilla  or"
"brmb.co.uk","home late"," from","  work  or"
"golgotha.org.uk","which comes"," from","  people  ''s"
"glasgowarchitecture.co.uk","retirement"," from","  research  in"
"englishmonarchs.co.uk","the contents"," from","  clubs  and"
"bordercrossings.org.uk","has benefited"," from","  interaction"
"accfinweb.account.strath.ac.uk","to be changed"," from","  ++  to +-. This"
"thinkroadsafety.gov.uk","resigned"," from","  office  . In"
"chichesterjazzclub.co.uk","sponsorship"," from","  charities  and"
"bronte.netfury.co.uk","lines! Here"," from","  todays  loving"
"martininstitute.ox.ac.uk","content"," from","  blogs  (penned"
"peteralan.co.uk",". They suffer"," from","  diarrhoea  ,"
"golgotha.org.uk","something"," from","  nothing  . Only"
"exeter.ac.uk","on anything"," from","  cinema"
