"corpus","ukwac"
"subcorpus","-"
"concordance size","10463"
"query","Query:[lc=""located"" | lemma_lc=""located""][lc=""in"" | lemma_lc=""in""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"rfc.org.uk","better  sites  ","located in"," the city. By"
"setdanceteacher.co.uk","table  buttons  ","located in"," the top left"
"silverprint.co.uk","are small  sacs  ","located in"," the vestibule"
"northernearth.co.uk","  building  ","located in"," the heart of"
"dh.gov.uk","than a  town  ","located in"," Macon County,"
"scotlandoffice.gov.uk","  enterprise  ","located in"," the"
"zx81.org.uk","four  schools  ","located in"," North Belfast"
"richmond.ac.uk","  structure  ","located in"," the temporal"
"bbcgovernors.co.uk","  schools  ","located in"," an area where"
"bectu.org.uk","  universities  ","located in"," south east"
"english-online.org.uk","This  company  ","located in"," sunny"
"mybrightonandhove.org.uk","all  elements  ","located in"," the BSA. The"
"spri.cam.ac.uk","  servers  ","located in"," secure data"
"churchill-society-london.org.uk","  services  ","located in"," Florida. Web"
"farm.org.uk","held in a  bank  ","located in"," a particular"
"freedomministries.org.uk","  institutions  ","located in"," two different"
"casi.org.uk","of the  courts  ","located in"," the County of"
"itgovernance.co.uk","have  FSEs  ","located in"," the main and"
"london-culture.co.uk","hidden  pocket  ","located in"," the lining of"
"digidots.co.uk","to  images  ","located in"," the Stills,"
"childrens.uk-shoponline.co.uk","that  company  ","located in"," the UK. The"
"silverprint.co.uk","  structure  ","located in"," the ampulla of"
"basingstoke.gov.uk","  tool  ","located in"," Start/"
"gopetition.co.uk"," ","located in"," various"
"isfp.co.uk","''  link  ","located in"," the grey bar"
"cain.ulst.ac.uk","into the  grips  ","located in"," the stylus"
"anglingdirect.co.uk","  teams  ","located in"," approved"
"foe.co.uk",". xNSTC [  copy  ","located in"," Bristol"
"passiondiscs.co.uk","a  viewpoint  ","located in"," Rue des Iris! I"
"brookes.ac.uk","  stations  ","located in"," that state. ''"
"phundria.org.uk","site is a  pond  ","located in"," the middle of"
"bitsnstuff.co.uk","  groups  ","located in"," the south of"
"bowness.demon.co.uk","  Societies  ","located in"," the UK and of"
"ppsoftnet.co.uk","3 Star  hotel  ","located in"," the city"
"luxonline.org.uk","  assets  ","located in"," the U. S."
"ubu.org.uk","  community  ","located in"," Northern"
"ppsoftnet.co.uk","3 Star  hotel  ","located in"," the city"
"ppsoftnet.co.uk","4 Star  hotel  ","located in"," the city"
"royalpioneercorps.co.uk","  instititions  ","located in"," different"
"tibenham.fsnet.co.uk","Olympic  zone  ","located in"," the Lee Valley"
"jr2.ox.ac.uk","  schools  ","located in"," the 28 states"
"magonia.demon.co.uk","  platform  ","located in"," a cutting."
"magonia.demon.co.uk","  station  ","located in"," a shallow"
"congressfordemocracy.org.uk","  communities  ","located in"," remote"
"shop.dataip.co.uk","  lights  ","located in"," the basement"
"rcsed.ac.uk","  theatres  ","located in"," Salford Quays"
"phrases.org.uk","  building  ","located in"," Belfast city"
"nottingham.ac.uk","  services  ","located in"," more than one"
