"corpus","ukwac"
"subcorpus","-"
"concordance size","12878"
"query","Query:[lc=""made"" | lemma_lc=""made""][lc=""of"" | lemma_lc=""of""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"northeastnocampaign.co.uk","fingers were"," made of","  bone  . "" "" I beg"
"childsafety.co.uk","of the tank is"," made of","  brick  . The"
"www2.thny.bbc.co.uk","turf oven is"," made of","  stones  . A"
"classic-literature.co.uk",", were"," made of","  wood  , not"
"streamcity.co.uk","imagine them"," made of","  brass  or"
"gerald-massey.org.uk","bottle is"," made of","  plastic  , with"
"fvi.org.uk","clothes"," made of","  wool  or wool"
"durham21.co.uk",". The only use"," made of","  cookies  by the"
"st-edmunds.cam.ac.uk",". Balls can be"," made of","  wood  or of"
"essex.police.uk","rake device)"," made of","  steel  is handy"
"london-culture.co.uk",""" wings "" are"," made of","  nylon  flaps"
"partnershiptravel.co.uk","were also"," made of","  pottery  ,"
"horniman.ac.uk",". The house"," made of","  stone  or mud"
"aimhigher.ac.uk","it. Old steps"," made of","  oak  planks"
"srtl.co.uk","everything"," made of","  glass  . Murano"
"lums.lancs.ac.uk",", and cap"," made of","  cloth  . Eight"
"itma.org.uk","wear outfits"," made of","  bread  . Yeah,"
"the-philosopher.co.uk","should also be"," made of","  quality"
"borkowski.co.uk","was"," made of","  job  losses"
"toast-uk.org.uk","tablets - one"," made of","  slate  , the"
"winton.org.uk","are usually"," made of","  steel  and"
"derek-hasted.co.uk","the region are"," made of","  mudbrick  ,"
"birminghamfocus.org.uk","a whole jaw"," made of","  ow  , with"
"firedog-design.co.uk",". The o-ring is"," made of","  rubber  sealed"
"hpa.org.uk","he has"," made of","  conviction"
"boostlpg.co.uk","my eyelids are"," made of","  sandpaper  . "" """
"www-jcsu.jesus.cam.ac.uk","of 2015 and is"," made of","  oak  . It has"
"bectu.org.uk","of which was"," made of","  bronze  . The"
"cma.soton.ac.uk","have ''walls"," made of","  air  ''."
"ati.surrey.ac.uk","? my heart is"," made of","  plastic  My"
"cafc.co.uk",", the dykes are"," made of","  kimberlite  , a"
"spartacus.schoolnet.co.uk","double seals"," made of","  material  used"
"wellchild.org.uk","were entirely"," made of","  glass  and"
"pressbox.co.uk","will have to be"," made of","  steel  and"
"article19.co.uk","water tank is"," made of","  bamboo  and"
"dcs.ed.ac.uk","trolley"," made of","  wickerwork"
"warwickshire-wildlife-trust.org.uk","for an arm band"," made of","  fox  fur and the"
"duncancumming.co.uk","him as "" being"," made of","  sponge  rubber"
"propertypro.co.uk","fullest use is"," made of","  everyone  ''s"
"shu.ac.uk","'' feed pellets"," made of","  cereals  and"
"dh.gov.uk","survey was"," made of","  factories  and"
"omni.ac.uk",", no mention is"," made of","  information"
"birdtours.co.uk","will also be"," made of","  quality  of"
"scotcourts.gov.uk","for any flue"," made of","  metal  or"
"partnershiptravel.co.uk",". Bellows"," made of","  wood  and"
"prochoiceforum.org.uk","the walls were"," made of","  mud  . They"
"oriel.ox.ac.uk","tone. "" I ''m not"," made of","  stone  ! "" I"
"anyclean.co.uk","boots and"," made of","  leather  (or"
"chichesterjazzclub.co.uk","knob is"," made of","  brass  and has"
"ewradio.co.uk","recorders are"," made of","  plastic  and"
"g-l.co.uk",", they are"," made of","  ''blocks  '',"
"www-jcsu.jesus.cam.ac.uk",", a pendulum"," made of","  stone  will"
"well.ac.uk","centre. It ''s"," made of","  cedar  , which I"
"adfam-parents.org.uk","the past. Some"," made of","  leather  , some"
"morrisinquiry.gov.uk","watch. It is"," made of","  leatherette"
"mookychick.co.uk","have even been"," made of","  concrete"
"pdsg.org.uk",""", they ''re"," made of","  cottonwool"
"walltowall.co.uk",", 2001. It is"," made of","  oak  and it"
"anyclean.co.uk","gloves"," made of","  leather  ("
"classic-literature.co.uk","it seemed to be"," made of","  glass  or maybe"
"laptopsdirect.co.uk","Service have"," made of","  items"
"foundationtv.co.uk","; good use is"," made of","  teleports  and"
"streamcity.co.uk","stories - are"," made of","  ink  and paper ("
"pnisha.org.uk","it down, ''Tis"," made of","  ground-ivy  ,"
"fire.org.uk","at anything"," made of","  snow  and ice"
"blogigo.co.uk","","made of","  hundreds  of"
"skyscript.co.uk","are creatures"," made of","  breath  and"
"panos.org.uk","astrolabe was"," made of","  brass  and was"
"hrionline.ac.uk",". Articles"," made of","  material  ,"
"cer.org.uk","use is to be"," made of","  information  ,"
"irdp.co.uk","is virtually"," made of","  metal  owing to"
"jasss.soc.surrey.ac.uk","he has"," made of","  levels  of"
"weddingguide.co.uk","long. It ''s"," made of","  wood  and"
"flooringsupplies.co.uk","skill demands"," made of","  workers  who"
"abarnett.demon.co.uk","pathways (","made of","  gravel  or"
"youngresources.co.uk","use must be"," made of","  community"
"bbcgovernors.co.uk","structures"," made of","  plastics  and"
"fantasyfactory.co.uk","wheels"," made of","  chrome  chain"
"prudential.co.uk","cake"," made of","  currants  and"
"penninewaterways.co.uk",". The roof is"," made of","  tongue  and"
"borkowski.co.uk","greater use"," made of","  truancy"
"candlemaking.org.uk","house - Thatch"," made of","  cocoa  nut leaf"
"lists.ucles.org.uk","a good case,"," made of","  quality"
"voiceoftheslug.org.uk","and tunnels"," made of","  hoardings  and"
"london-culture.co.uk","decoration"," made of","  cord  and/ or"
"bfinance.co.uk","2 lb. ) of bread"," made of",""
"pnisha.org.uk","film later"," made of","  it)-  Tom Brown"
"bio.bris.ac.uk","funny, cases"," made of","  cardboard"
"bio.bris.ac.uk","funny, cases"," made of","  cardboard"
"iserv.abertay.ac.uk","","made of","  bits  of the"
"politicalcartoon.co.uk","and videos"," made of","  x  frames per"
"uktvstylegardens.co.uk","humaine,"," made of","  emirs  , barons"
"paulcrawford.co.uk","''s dial"," made of","  clay  , through"
"cre.gov.uk","''s dial"," made of","  clay  , through"
"essexwt.org.uk","things to be"," made of","  gold  , and the"
"cedr.co.uk","instrument"," made of","  wood  - looks"
"societies.ncl.ac.uk","in diameter, """," Made of","  pieces  this"
"cilip.org.uk","by one horse,"," made of","  wood  and iron,"
"the-philosopher.co.uk","by them are not"," made of","  horn  or ivory"
"cre.gov.uk","Carbinate"," made of","  marble  ."
"pocketgamer.co.uk",". It is"," made of","  leather  ,"
"rncom.mod.uk","; and if"," made of","  metal  , the"
"b.ali.btinternet.co.uk","with her, was"," made of","  ebony  and"
"kellywishart.co.uk","recorders are"," made of","  plastic  and"
"netdoctor.co.uk","at Bath were"," made of","  lead  (as was"
"defra.gov.uk","recorders are"," made of","  plastic  and"
"physiol.ox.ac.uk","would be"," made of","  brick  or more"
"re-skill.org.uk","to be"," made of","  exposure  of"
"practical-martial-arts.co.uk","sound-box is"," made of","  pine  , the"
"practical-martial-arts.co.uk","(blower)"," made of","  reed  or elder."
"practical-martial-arts.co.uk","furugla),"," made of","  elderberry  ,"
"practical-martial-arts.co.uk","recorders are"," made of","  elderberry"
"www-tus.csx.cam.ac.uk","of 60s jukebox"," made of","  wood  . And is"
"payaway.co.uk","is with a wall"," made of","  timber  and the"
"in-the-spirit.co.uk","not, in fact"," made of",""
"birdinghawaii.co.uk","exhibition"," made of","  cardboard  and"
"retirement-matters.co.uk","assessments"," made of","  housing"
"retirement-matters.co.uk","criticisms"," made of","  housing"
"shocknet.org.uk","we wear is"," made of","  pig  ''s hide,"
"samoa.co.uk","tanks are now"," made of","  plastic  and so"
"independentliving.co.uk","make me a phone"," made of","  chocolate  ! ?"
"independentliving.co.uk","not literally"," made of","  chocolate  , it"
"governornet.co.uk","it down, ''Tis"," made of","  ground-ivy  ,"
"helo.co.uk","seems to be"," made of","  aluminium  ."
"daydreamnation.co.uk","''s dial"," made of","  clay  , through"
"daydreamnation.co.uk","Carbinate"," made of","  marble  ."
"jolt.co.uk","a narrow one"," made of","  dress"
"missiedith.bentbacktulips.co.uk","selection was"," made of","  people  with"
"diydoctor.org.uk","Loompas were"," made of","  chocolate  ."
"biomed.abdn.ac.uk","oldest ones"," made of","  calf-skin  ,"
"historylearningsite.co.uk",", and you are"," made of","  sea  , and you"
"localhistory.scit.wlv.ac.uk","eyeless, or"," made of","  cloth  ?"
"fastcart.co.uk",", and this is"," made of","  copper  from"
"socialistworker.co.uk","recorders are"," made of","  plastic  and"
"christian-ecology.org.uk","Madonna"," made of","  walnut  or"
"royal.gov.uk","use that was"," made of","  fragments  and"
"omlet.co.uk","with walls"," made of","  sound  ."
"artquest.org.uk","the coins were"," made of","  chocolate  did"
"ppcmag.co.uk",". Castles"," Made of","  Sand  - a review"
"broadcaster.org.uk","headstones"," made of","  crosses  with"
"londonfashionweek.co.uk","? If things are"," made of","  information  ,"
"socialistunitynetwork.co.uk","it down, ''Tis"," made of","  ground-ivy  ,"
"classic-literature.co.uk",". The bust is"," made of","  limestone"
"bized.ac.uk","/in a well"," made of","  bone  /that you"
"youngminds.org.uk","seems to be"," made of","  plastic  ) and"
"chester.ac.uk","have been"," made of","  mud  tiles. It"
"burnyourbonus.co.uk","Owl Gadget is"," made of","  driftwood  and"
"taxfreegold.co.uk","pink woman"," made of","  cinder  blocks"
"radioandtelly.co.uk","the demands"," made of","  others  in the"
"jr2.ox.ac.uk","''d have to be"," made of","  stone  if this"
"ff1600.co.uk","shoddily"," made of","  wood  and lath"
"catholic-ew.org.uk","(J., komainu)"," made of","  stone"
"catholic-ew.org.uk","statues were"," made of","  wood  and kept"
"durham21.co.uk","- with those"," made of","  concrete  . Ken"
"athelstane.co.uk","they had been"," made of","  parchment  . """
"chester.ac.uk","you were just"," made of","  fool  of? Yet"
"penguinclassics.co.uk","have been"," made of","  conspiracy  ,"
"pocket-lint.co.uk","were"," made of",""
"cheng.cam.ac.uk","of trees and"," made of","  oak  . Like"
"nationalschool.gov.uk","use has been"," made of","  ''proximity"
"brianmac.demon.co.uk","narrow paths"," made of","  wood"
"burnyourbonus.co.uk","where a wall"," made of","  marble  blocks"
"sundaymail.co.uk","he has"," made of","  comments  made"
"radioandtelly.co.uk","his flesh were"," made of","  glass  . After"
"british-history.ac.uk","the mirror is"," made of","  metal  , which"
"i-sis.org.uk","the mirror is"," made of","  metal  , which"
"developments.org.uk","fullest use is"," made of","  everyone  ''s"
"forums.ebay.co.uk","time a note is"," made of","  sub  headings"
"dca.gov.uk",". It is"," made of","  titanium  and"
"refer.nhs.uk","forever man is"," made of","  carbon  and"
"refer.nhs.uk","diamonds are"," made of","  carbon  so he"
"ticketmaster.co.uk","with a body"," made of","  chamois  and a"
"cabe.org.uk","as "" a shape"," made of","  parts  similar"
"durham21.co.uk",". No mention is"," made of","  overflight"
"brookes.ac.uk","it was usually"," made of","  wood  ,"
"bbc.co.uk","Brazilian -"," made of","  wood  , wool and"
"bbc.co.uk","a bicycle"," made of","  wood  . © The"
"fortunecity.co.uk","to be"," made of","  population"
"tech.plym.ac.uk","- the walls are"," made of","  wood  and the"
"fortunecity.co.uk","they are"," made of","  calcite  , they"
"headheritage.co.uk","to be a ball"," made of","  moss  . I turned"
"greenparty.org.uk","weapons"," made of","  carbon  fiber,"
"greenparty.org.uk","of rowing were"," made of","  wood  . Carbon"
"tate.org.uk","and bottles"," made of","  plastic  . Even"
"televisionheaven.co.uk",", chewing gum,"," made of","  wax  Brought me"
"inminds.co.uk",". It is"," made of","  steel  tubing"
"darlington.gov.uk","shows a dragon"," made of","  sheepskin"
"netribution.co.uk",". Cicadas"," made of","  jade  were"
"wdm.org.uk",". Some use is"," made of","  schools"
"seniorsnetwork.co.uk","6 feet tall and"," made of","  marble  or"
"netribution.co.uk","little use was"," made of","  ''indoor  ''"
"casi.org.uk","than one"," made of","  flesh  and"
"news.bbc.co.uk","itself as if"," made of","  slabs  of"
"kierenmccarthy.co.uk",", we eat cakes"," made of","  buckwheat  ,"
"holdthefrontpage.co.uk","was no mention"," made of","  anyone  else"
"cnetwork.co.uk","his flesh were"," made of","  glass  . After"
"gimbo.org.uk","perusal was"," made of","  brochures  ."
"psigate.ac.uk","he was blue and"," made of","  energy  , or"
"psigate.ac.uk","he was blue and"," made of","  energy  , or"
"spartacus.schoolnet.co.uk",", only it ''s"," made of","  irony  '' -"
"gnn.gov.uk","talismans"," made of","  bronze  and"
"nickys-nursery.co.uk","layer."," Made of","  meteor  dust/"
"opsi.gov.uk","are now"," made of","  glass  three"
"vts.rdn.ac.uk","of glory is"," made of","  materials"
"kierenmccarthy.co.uk","everything is"," made of","  energy  ,"
"www3.imperial.ac.uk","was a cat"," made of","  crockery  , and"
"nationalschool.gov.uk","as if they were"," made of","  glass  , her"
"imperial.ac.uk","use is being"," made of","  government"
"history.ac.uk",", or a church"," made of","  bottles  . We"
"i-sis.org.uk","O. D. sleeve"," made of","  material  with"
"developerfusion.co.uk","and thus being"," made of","  wool  , would"
"ff1600.co.uk","of the uses"," made of","  abstracts  ,"
"filmfocus.co.uk","to be"," made of","  dietary  and"
"sundaymail.co.uk",", you are not"," made of","  straw  ."
"phrases.org.uk","have children"," made of","  wax  ? Akimbo"
