"corpus","ukwac"
"subcorpus","-"
"concordance size","47038"
"query","Query:[lc=""makes"" | lemma_lc=""makes""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"hiroshige.org.uk","homes, which"," makes","  contact  with"
"businessbureau-uk.co.uk","of nostalgia"," makes","  everything"
"pocketgps.co.uk","actually"," makes","  contact  . I"
"path.cam.ac.uk","Internet also"," makes","  buying  from"
"robertmoir.co.uk","therefore"," makes","  sense  for"
"realclassic.co.uk","Internet also"," makes","  buying  from"
"fire.org.uk","sometimes"," makes","  pictures"
"andrealevy.co.uk",". Regulation 8"," makes","  amendments  to"
"exeter.ac.uk",". CUSU"," makes","  arrangements"
"bletchleypark.org.uk","anything that"," makes","  lots  of noise."
"wessexscene.co.uk",". This site"," makes","  use  of Dublin"
"arts.guardian.co.uk","data. This"," makes","  comparisons"
"urbanforum.org.uk",". This site"," makes","  use  of Dublin"
"placeboworld.co.uk","of your glow"," makes","  incontinence"
"www2.chch.ox.ac.uk","on, you know it"," makes","  sense  . Morden"
"surreydancemusic.co.uk","Saviola"," makes","  way  for Tevez"
"emco.co.uk","returns it"," makes","  sense  not to"
"esbhhealth.nhs.uk","me. "" Gaelan"," makes","  reference  to"
"literacytrust.org.uk",". But what"," makes","  Spychips  such"
"dolphinuk.co.uk",", which"," makes","  diagnosis"
"qcanet.co.uk","gadget that"," makes","  text"
"libdemsalter.org.uk","and why it"," makes","  sense  . Trust"
"libdemsalter.org.uk","that"," makes","  sense  . You ''re"
"eng.bham.ac.uk","methods that"," makes","  match  fishing"
"peteralan.co.uk","in India"," makes","  life  even more"
"pyramus.demon.co.uk","Universalism"," makes","  G-d  a sadist."
"cippm.org.uk","holding data"," makes","  collation  and"
"uec.ac.uk","First "", which"," makes","  gender"
"compendia.co.uk","some extent it"," makes","  comparisons"
"man.ac.uk","Nistelrooy"," makes","  way  for Kuyt."
"walltowall.co.uk","in that it"," makes","  money  even"
"pda.skymarket.co.uk","find out what"," makes","  meat  taste,"
"battleoffulford.org.uk","in chief"," makes","  war  on his own"
"soup.co.uk","report"," makes","  case  for"
"royalascot.co.uk","a t-shirt that"," makes","  people  feel"
"gwydir.demon.co.uk","politics. He"," makes","  films  about"
"visitsouthwest.co.uk",", contains"," makes","  compliance"
"megagrip.co.uk","is, and it"," makes","  life  very"
"gardenaction.co.uk","that"," makes",""
"john.pettigrew.org.uk","thing that"," makes","  sense  of Gerry"
"man.ac.uk","as Milosevic"," makes","  way"
"brookes.ac.uk","Europe, it"," makes","  sense  to be"
"asiaticpheasants.co.uk","the therapist"," makes","  space"
"bures-online.co.uk","you wear. It"," makes","  sense  to"
"wellingboroughtownfc.co.uk","the bend. It"," makes","  sense  to"
"nasuwt.org.uk","card. It"," makes","  life  a bitch. /"
"classic-literature.co.uk","them? "" "" It"," makes","  sense  , sir. "" """
"colc.co.uk","question what"," makes","  people  want to"
"cwn.org.uk","a doctype only"," makes","  sense  when the"
"twistednerve.co.uk","school links"," makes","  demands  on"
"asiaticpheasants.co.uk","zones. So what"," makes","  metaphor  work"
"fire.org.uk","times when it"," makes","  sense  to be no"
"asab.icapb.ed.ac.uk","in common so it"," makes","  sense  for the"
"nln.ac.uk","Telemedicine"," makes","  parents  ''"
"aelybryn.co.uk","a baby, so he"," makes","  plans  to visit"
"martininstitute.ox.ac.uk","which"," makes","  sense  to the"
"lentontimes.co.uk","? bounce '', it"," makes","  contact  with"
"classic-literature.co.uk","sir. "" "" It also"," makes","  sense  to act"
"learningtogether.co.uk","sailing. "" It"," makes","  things  such as"
"gfdl.marxists.org.uk","style and"," makes","  sense  to"
"bodystressrelease.co.uk",", the artist"," makes","  money  , and I"
"leaddiscovery.co.uk","mouth. What"," makes",""
"e-epilepsy.org.uk","extend to?"," makes","  phone  calls,?"
"stewardsschool.co.uk","positioning"," makes","  sense  , Margin"
"royalascot.co.uk","who only"," makes","  tampons  ! Well"
"leaddiscovery.co.uk","- Talent"," makes","  capital  dance"
"codexbooks.co.uk","easy as the Web"," makes","  access  to"
"kneeling.co.uk","system that"," makes",""
"passiondiscs.co.uk","hard yards ''"," makes","  schools"
"rumwoodnurseries.co.uk","extent that it"," makes","  observers"
"l-w-bks.co.uk","being, which"," makes",""
"marine.gov.uk","Agency"," makes","  arrangements"
"stewardsschool.co.uk","called) only"," makes","  sense  within"
