"corpus","ukwac"
"subcorpus","-"
"concordance size","27275"
"query","Query:[lc=""used"" | lemma_lc=""used""][lc=""by"" | lemma_lc=""by""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"cimhscaretrust.nhs.uk","wax  candles  ","used by"," nobles to seal"
"politicalcartoon.co.uk","a key  enzyme  ","used by"," the virus to"
"scottishweddingdirectory.co.uk","on  plants  ","used by"," the"
"apinfo.co.uk",", the  language  ","used by"," both. "" The"
"jfortune.radiomagic.co.uk","mailing  list  ","used by"," UCISA."
"onevision.co.uk",",  traditions  ","used by"," many"
"www-jcsu.jesus.cam.ac.uk","WWW  browsers  ","used by"," people who """
"clinicalanswers.nhs.uk",":  Strategies  ","used by"," 11-year-olds"
"applebymanor.co.uk","  company  ","used by"," Porsche for"
"clinicalanswers.nhs.uk",":  Strategies  ","used by"," 11-year-olds"
"woodforde.co.uk","? Common  terms  ","used by"," translation"
"psnc.org.uk","a year.  Horses  ","used by"," market"
"chippendale.co.uk","on the  model  ","used by"," HM Treasury."
"greywall.demon.co.uk","from a  glass  ","used by"," an infected"
"countywedding.co.uk","the  material  ","used by"," Greys. I will"
"wellchild.org.uk","figure of 50  %  ","used by"," the developer"
"compbio.dundee.ac.uk","  vehicle  ","used by"," the Service to"
"optimumimpact.co.uk","the key  fuels  ","used by"," the cells of"
"accountability.org.uk",". The  cookies  ","used by"," painSupport"
"phrases.org.uk","the  language  ","used by"," existential"
"hrionline.ac.uk","  process  ","used by"," the"
"philobiblon.co.uk","to the  style  ","used by"," teachers"
"gssw.ac.uk","  strategies  ","used by"," lions. Read"
"jdhooker.org.uk","of  sources  ","used by"," Hirst are"
"arts.guardian.co.uk","  procedure  ","used by"," the Military"
"marine.gov.uk","  relaxation  ","used by"," many"
"graysathletic.co.uk","  name  ","used by"," the local"
"congressfordemocracy.org.uk","a key  resource  ","used by"," a wide number"
"thealbany.org.uk","nerve  gas  ","used by"," U. S. forces in"
"unionsquaremusic.co.uk","  studio  ","used by"," the major"
"fdean.gov.uk","  knots  ","used by"," anglers,"
"visitsouthwest.co.uk","up all  space  ","used by"," any file"
"pumasoft.co.uk",", in the  form  ","used by"," the"
"youngminds.org.uk","  vocabulary  ","used by"," clergymen"
"blackheathrugby.co.uk","  definition  ","used by"," the"
"monkoptics.co.uk","  certificate  ","used by"," Skype to sign"
"monkoptics.co.uk","  certificate  ","used by"," Skype to sign"
"epoxy-resins.co.uk","alkali  levels  ","used by"," concrete"
"scalibor.co.uk","is a  component  ","used by"," the debugger"
"eternalnight.co.uk","  tests  ","used by"," the Northern"
"tps.org.uk","of unique  IDs  ","used by"," the core OS as"
"bordercrossings.org.uk","  mechanisms  ","used by"," students to"
"lums.lancs.ac.uk","  thresholds  ","used by"," the ISC in"
"greenbuildingstore.co.uk","and the  model  ","used by"," C# and Java to"
"tps.org.uk","with an  ID  ","used by"," one of your"
"palimpsest.org.uk","the  systems  ","used by"," them to cope"
"uec.ac.uk","  articles  ","used by"," Red Hat ''s"
"raggedraven.co.uk","- it  hasbeen  ","used by"," food"
"shaneglobal.co.uk","  facility  ","used by"," the Council is"
"nimh.org.uk","  munitions  ","used by"," the allied"
"cnetwork.co.uk","the  Breviary  ","used by"," the clergy,"
"philobiblon.co.uk","of  skills  ","used by"," the higher"
"robertmoir.co.uk","  information  ","used by"," us to manage"
"freenetpages.co.uk","major  docks  ","used by"," the British"
"artlab.org.uk","  criteria  ","used by"," employers to"
"virgintrains.co.uk","  catchment  ","used by"," migratory and"
"busybeebasics.co.uk","the  standard  ","used by"," both the U. S."
"natwest.co.uk","safety  glass  ","used by"," transport and"
"assetprotections.co.uk","  scheme  ","used by"," the"
"biomed.abdn.ac.uk",", the  force  ","used by"," the ruling"
