"corpus","ukwac"
"subcorpus","-"
"concordance size","23504"
"query","Query:[lc=""used"" | lemma_lc=""used""][lc=""by"" | lemma_lc=""by""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"cimhscaretrust.nhs.uk","wax candles"," used by","  nobles  to seal"
"poetrysociety.org.uk","which is being"," used by","  companies  to"
"persephonebooks.co.uk","'' has been"," used by","  society  to"
"www-jcsu.jesus.cam.ac.uk","WWW browsers"," used by","  people  who """
"clinicalanswers.nhs.uk",": Strategies"," used by","  11-year-olds"
"clinicalanswers.nhs.uk",": Strategies"," used by","  11-year-olds"
"wellchild.org.uk","raised may be"," used by","  way  of"
"education.independent.co.uk","could be"," used by","  parties  or"
"woodforde.co.uk","? Common terms"," used by","  translation"
"psnc.org.uk","a year. Horses"," used by","  market"
"theedge.abelgratis.co.uk","them which are"," used by","  individuals"
"city.ac.uk","other track is"," used by","  trains  from"
"darknessandlight.co.uk",". It should be"," used by","  commanders"
"accountability.org.uk",". The cookies"," used by","  painSupport"
"philobiblon.co.uk","to the style"," used by","  teachers"
"gssw.ac.uk","strategies"," used by","  lions  . Read"
"nfrc.co.uk","to those"," used by",""
"tandf.co.uk","and"," used by","  publishers  as"
"isi.salford.ac.uk",", which are"," used by","  filmmakers  to"
"gostak.demon.co.uk","They were also"," used by","  IRA  snipers."
"fpp.co.uk","an email is not"," used by","  mail  delivery"
"youngresources.co.uk","experiments)"," used by",""
"rcpbml.org.uk","that is"," used by",""
"fdean.gov.uk","knots"," used by","  anglers  ,"
"wasteonline.org.uk","these can be"," used by","  researchers  ."
"youngminds.org.uk","vocabulary"," used by","  clergymen"
"moggies.co.uk","increasingly"," used by","  researchers"
"ita.org.uk","and may be"," used by","  businesses"
"go.reuters.co.uk","a System that"," used by","  naturalists"
"bl.uk","track is also"," used by",""
"omayenin.com.mysite.wanadoo-members.co.uk","which can be"," used by","  attraction"
"moggies.co.uk","be shared and"," used by","  lecturers  in"
"linuxformat.co.uk","water was much"," used by","  country"
"accountability.org.uk","system was"," used by","  sponsors  and a"
"ias.org.uk","increasingly"," used by","  state  and"
"sherlock-holmes.classic-literature.co.uk",". Often"," used by","  community"
"uklug.co.uk","is being"," used by","  governments"
"garysdetecting.co.uk","being"," used by","  QPEP  in its"
"frenchconnections.co.uk","BioEthanol (","used by","  petrol  cars)"
"bordercrossings.org.uk","mechanisms"," used by","  students  to"
"salfordsoftware.co.uk","and should be"," used by",""
"mouthulcers.co.uk","will then be"," used by","  institutions"
"primaryresources.co.uk","remedies were"," used by","  pioneers  and"
"famousquotes.me.uk",", to be"," used by","  academics  ,"
