"corpus","ukwac"
"subcorpus","-"
"concordance size","20642"
"query","Query:[lc=""uses"" | lemma_lc=""uses""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"gammassl.co.uk","a lesson"," uses","  proximity"
"isomatic.co.uk","''s population"," uses","  herbs"
"classicrally.org.uk","site does not"," uses","  frames  for any"
"accfinweb.account.strath.ac.uk","way the media"," uses","  anecdote  to"
"setdanceteacher.co.uk","Nymph fishing"," uses","  imitations  of"
"accountability.org.uk","Rushdie"," uses","  literature  to"
"worldwar1.co.uk","Your mom"," uses","  lard  instead"
"samoa.co.uk","author then"," uses","  case  studies"
"rapidsar.org.uk","bank which"," uses","  peoples"
"emco.co.uk","Service"," uses","  cookies  to"
"poetrymagic.co.uk",". This"," uses","  lambda  forms,"
"history.ac.uk","GigaPulse VST"," uses","  convolution"
"flooringsupplies.co.uk",", the Museum"," uses","  software  that"
"isomatic.co.uk","already"," uses","  herbs  in one"
"fitz.cam.ac.uk","head part, it"," uses","  sys  . prefix"
"theregister.co.uk",". It ''s also"," uses","  GPRS  , which"
"anorak.co.uk",", which"," uses","  X-ray"
"century.guardian.co.uk","Water Co."," uses","  bottles"
"www1.flatmateclick.co.uk","Title: Teen"," uses","  worm  to boost"
"itgovernance.co.uk",". If the enemy"," uses","  chemical"
"unemployeddoctor.co.uk",". uk This text"," uses","  colour"
"swaine.me.uk","the composer"," uses",""
"philcollins.co.uk","). It"," uses","  keyword  >"
"newbury-racecourse.co.uk","teaching EFL"," uses","  lots  of great"
"barclayfarmhouse.co.uk",", as the Group"," uses","  sourceforge"
"mda.org.uk",", as the Group"," uses","  sourceforge"
"marine.gov.uk","Lawley who"," uses","  NLP  in his work"
"martininstitute.ox.ac.uk","A ''light year ''"," uses","  speed  ,"
"shef.ac.uk","principally"," uses","  files  of the"
"penninewaterways.co.uk",", nationwide."," Uses","  creativity"
"oxford-chiltern-bus-page.co.uk",". ) The shop now"," uses",""
"telematica.co.uk","approach that"," uses","  emergence  to"
"thealbany.org.uk",". 1988: Iraq"," uses","  chemical"
"tribes.co.uk","a website that"," uses","  frames  . How to"
"theisleofjura.co.uk","itself"," uses","  resources  , so"
"blog.ctrlbreak.co.uk","STEEL MIRRORS"," uses","  cookies  as a"
"crwth.org.uk","Exercise that"," uses","  oxygen  . Low to"
"william-shakespeare.org.uk",". This release"," uses","  unix  as the"
"politicalcartoon.co.uk","company that"," uses","  millions  of"
"psni.police.uk","technology"," uses","  peer-to-peer"
"dca.gov.uk",". The USA"," uses","  weapons"
"redking.co.uk","out in spam and"," uses","  filenames"
"youngresources.co.uk",", Auerbach"," uses","  ''realism  '' as a"
"homepages.gold.ac.uk","acts. Deutsch"," uses","  structures"
"publicservice.co.uk","creates and"," uses","  talent  is far"
"chechenpress.co.uk","Rademacher"," uses","  philosophy  in"
"emco.co.uk","? Our service"," uses","  user  ID and"
"naworth.co.uk","DAREnet"," uses","  i-Tor  [ 3 ] for"
"bures-online.co.uk","RWH ''"," uses","  runoff  from"
"psalmody.co.uk",", the ISC"," uses","  channel  lists"
"warpoetry.co.uk","which"," uses","  forms  ,"
"libertas.demon.co.uk","where nobody"," uses","  weapons  of"
"chrishardy.co.uk","a service and"," uses","  information"
"stopurban4x4s.org.uk","professor"," uses","  blogs  in"
"ea.e-renfrew.sch.uk",", but"," uses","  ephemeris"
"princeofwales.gov.uk",". uk website"," uses","  cookies  . The"
"ea.e-renfrew.sch.uk",", but"," uses","  ephemeris"
"ea.e-renfrew.sch.uk",", but"," uses","  telescope"
"ea.e-renfrew.sch.uk",", but"," uses","  telescope"
"thealbany.org.uk","China,"," uses","  chemical"
"libdemsalter.org.uk","the eye. No one"," uses","  Secunia  for"
"tribes.co.uk","little note"," uses","  WebIt  ! for"
"greenparty.org.uk","detail; he"," uses","  crew  lists,"
"yealm-holidays.co.uk","source, it"," uses","  reflection  to"
"cstr.ed.ac.uk","shop that"," uses","  eBay"
"greenparty.org.uk","process she"," uses","  management"
"www1.flatmateclick.co.uk","MALWARE Teen"," uses","  worm  to boost"
"saa.co.uk",". The test"," uses","  eye-swab"
"richmondreview.co.uk",". The author"," uses","  sodium"
"ricoh.co.uk","the tenant"," uses","  license"
"william-shakespeare.org.uk","debugged"," uses","  threads  ."
"cantrell.org.uk",""" series, and"," uses","  Internet"
"bures-online.co.uk","RWH ''"," uses","  run-off  from"
"michaelkelly.fsnet.co.uk","As someone who"," uses","  drugs"
"ea.e-renfrew.sch.uk","but"," uses","  telescope"
"ea.e-renfrew.sch.uk","but"," uses","  telescope"
"ea.e-renfrew.sch.uk",", but"," uses","  ephemeris"
"ea.e-renfrew.sch.uk","NOD_CHOP, but"," uses","  ephemeris"
"worldwar1.co.uk","up Your mom"," uses","  lard  instead"
"cs.nott.ac.uk","The seminar"," uses","  cases  studies"
"martininstitute.ox.ac.uk","when Bush"," uses","  bush-isms  ,"
"proquest.co.uk",", and then"," uses","  something"
"richmondreview.co.uk","geometry. It"," uses","  examples  of"
"african-angler.co.uk",". This paper"," uses","  life"
"rafmarham.co.uk","a body which"," uses","  myth  and"
"new-agri.co.uk","children. She"," uses","  ideas  from"
"thealbany.org.uk","s: Britain"," uses","  chemical"
"ea.e-renfrew.sch.uk",", but"," uses","  ephemeris"
"healthscience.swansea.ac.uk","of someone who"," uses","  drugs  , drink"
"ipaqrepair.co.uk",", but"," uses","  terminology"
